label,is_n,is_cagr,is_vol,is_mdd,is_sharpe,is_cagr_mdd,is_navx,family,oos_n,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_cagr_mdd,oos_navx
HFEA-Tech 50/50 TQQQ/TMF,2012,32.28,25.59,-32.29,1.22,1.0,9.3,static,1823,16.44,41.34,-74.96,0.58,0.22,3.0
HFEA-Tech 60/40 TQQQ/TMF,2012,34.55,28.43,-38.11,1.19,0.91,10.7,static,1823,22.23,45.42,-75.46,0.67,0.29,4.3
3sleeve 50/40/10 TQQQ/TMF/UGL,2012,29.72,24.74,-31.86,1.18,0.93,8.0,static,1823,22.05,39.99,-71.78,0.7,0.31,4.2
HFEA 50/50 UPRO/TMF,2012,26.02,21.58,-26.81,1.18,0.97,6.3,static,1823,10.73,35.26,-69.65,0.47,0.15,2.1
HFEA-Tech 40/60 TQQQ/TMF,2012,29.3,24.85,-26.94,1.16,1.09,7.8,static,1823,10.04,38.88,-74.93,0.44,0.13,2.0
3sleeve 40/50/10 TQQQ/TMF/UGL,2012,27.06,23.07,-25.62,1.15,1.06,6.8,static,1823,15.63,36.79,-71.28,0.58,0.22,2.9
HFEA 60/40 UPRO/TMF,2012,27.18,23.3,-31.69,1.15,0.86,6.8,static,1823,15.54,37.74,-66.11,0.57,0.24,2.8
3sleeve 50/40/10 UPRO/TMF/UGL,2012,23.54,20.68,-27.83,1.13,0.85,5.4,static,1823,16.03,33.77,-63.05,0.61,0.25,2.9
3sleeve 60/30/10 TQQQ/TMF/UGL,2012,31.66,28.42,-37.76,1.11,0.84,9.0,static,1823,27.8,44.76,-72.69,0.77,0.38,5.9
3sleeve 40/40/20 TQQQ/TMF/UGL,2012,24.59,22.13,-25.16,1.1,0.98,5.8,static,1823,21.16,35.35,-67.91,0.72,0.31,4.0
HFEA-Tech 70/30 TQQQ/TMF,2012,36.06,32.83,-43.61,1.1,0.83,11.7,static,1823,27.29,50.75,-76.42,0.73,0.36,5.7
3sleeve 40/50/10 UPRO/TMF/UGL,2012,22.04,20.25,-23.67,1.09,0.93,4.9,static,1823,10.74,32.24,-67.14,0.48,0.16,2.1
HFEA 40/60 UPRO/TMF,2012,24.22,22.16,-26.13,1.09,0.93,5.7,static,1823,5.42,34.54,-73.14,0.33,0.07,1.5
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,2012,22.19,20.36,-23.36,1.09,0.95,5.0,static,1823,18.73,32.68,-63.69,0.69,0.29,3.5
3sleeve 50/30/20 TQQQ/TMF/UGL,2012,26.93,24.73,-31.47,1.09,0.86,6.7,static,1823,27.57,39.31,-68.67,0.82,0.4,5.8
3sleeve 60/30/10 UPRO/TMF/UGL,2012,24.41,23.42,-32.53,1.05,0.75,5.7,static,1823,20.76,37.04,-61.26,0.7,0.34,3.9
HFEA 70/30 UPRO/TMF,2012,27.69,26.9,-36.48,1.04,0.76,7.0,static,1823,19.76,41.67,-64.36,0.64,0.31,3.7
3sleeve 40/40/20 UPRO/TMF/UGL,2012,19.65,19.27,-24.17,1.03,0.81,4.2,static,1823,16.02,30.68,-60.29,0.64,0.27,2.9
3sleeve 50/30/20 UPRO/TMF/UGL,2012,20.85,20.79,-28.9,1.02,0.72,4.5,static,1823,21.24,33.05,-58.4,0.75,0.36,4.0
3sleeve 70/20/10 TQQQ/TMF/UGL,2012,32.85,33.46,-43.3,1.02,0.76,9.7,static,1823,32.74,50.64,-73.89,0.81,0.44,7.8
theme4 SSO/TQQQ/TMF/UGL 25/25/25/25,2012,20.04,19.98,-24.47,1.01,0.82,4.3,static,1823,24.9,31.56,-57.84,0.86,0.43,5.0
EW4 UPRO/TQQQ/TMF/UGL,2012,22.56,22.68,-28.66,1.01,0.79,5.1,static,1823,27.28,35.65,-61.07,0.86,0.45,5.7
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25,2012,22.56,22.68,-28.66,1.01,0.79,5.1,static,1823,27.28,35.65,-61.07,0.86,0.45,5.7
3sleeve 40/30/30 TQQQ/TMF/UGL,2012,21.91,22.12,-25.4,1.01,0.86,4.9,static,1823,26.6,34.67,-64.37,0.85,0.41,5.5
3sleeve 30/60/10 TQQQ/TMF/UGL,2012,23.74,23.84,-28.68,1.01,0.83,5.5,static,1823,8.68,35.57,-72.36,0.41,0.12,1.8
HFEA-Tech 80/20 TQQQ/TMF,2012,36.78,38.25,-48.77,1.01,0.75,12.2,static,1823,31.47,56.97,-78.0,0.77,0.4,7.2
3sleeve 60/20/20 TQQQ/TMF/UGL,2012,28.56,29.15,-37.42,1.01,0.76,7.4,static,1823,33.24,44.71,-69.77,0.87,0.48,8.0
3sleeve 30/50/20 TQQQ/TMF/UGL,2012,21.59,21.99,-27.25,1.0,0.79,4.8,static,1823,14.16,33.35,-67.76,0.56,0.21,2.6
4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL,2012,26.34,27.09,-35.23,1.0,0.75,6.5,static,1823,31.1,41.65,-65.21,0.86,0.48,7.1
theme4 UPRO/QLD/TMF/UGL 25/25/25/25,2012,19.03,19.38,-24.68,1.0,0.77,4.0,static,1823,23.88,30.65,-55.74,0.85,0.43,4.7
HFEA-Tech 30/70 TQQQ/TMF,2012,25.66,26.38,-30.32,1.0,0.85,6.2,static,1823,3.17,38.38,-77.84,0.27,0.04,1.3
invvol clean4 lb=21,2012,20.37,20.87,-23.98,0.99,0.85,4.4,invvol,1823,23.56,29.89,-53.58,0.86,0.44,4.6
theme4 SSO/QLD/TMF/UGL 25/25/25/25,2012,16.43,16.99,-20.42,0.98,0.8,3.4,static,1823,21.24,26.78,-52.16,0.85,0.41,4.0
3sleeve 50/20/30 TQQQ/TMF/UGL,2012,23.94,25.57,-31.09,0.97,0.77,5.5,static,1823,32.96,39.33,-65.32,0.92,0.5,7.9
4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL,2012,23.96,25.48,-33.06,0.97,0.72,5.6,static,1823,28.63,39.07,-61.2,0.84,0.47,6.2
invvol core6 lb=126,2012,24.41,26.2,-30.65,0.97,0.8,5.7,invvol,1823,25.97,39.37,-61.34,0.78,0.42,5.3
EW5 UPRO/TQQQ/SOXL/TMF/UGL,2012,26.7,29.28,-35.54,0.96,0.75,6.6,static,1823,36.37,47.17,-68.73,0.89,0.53,9.4
invvol core6 lb=21,2012,24.7,26.71,-27.53,0.96,0.9,5.8,invvol,1823,32.66,38.72,-60.27,0.92,0.54,7.7
EW5 UPRO/TQQQ/TECL/TMF/UGL,2012,24.98,26.91,-35.58,0.96,0.7,5.9,static,1823,32.68,42.81,-64.39,0.88,0.51,7.7
theme4 SSO/TECL/TMF/UGL 25/25/25/25,2012,18.38,19.89,-24.76,0.95,0.74,3.8,static,1823,26.99,32.96,-56.48,0.89,0.48,5.6
invvol core6 lb=63,2012,24.24,26.65,-28.79,0.95,0.84,5.7,invvol,1823,28.26,39.15,-60.99,0.83,0.46,6.1
invvol clean4 lb=63,2012,19.19,20.66,-23.71,0.95,0.81,4.1,invvol,1823,21.32,29.96,-53.98,0.8,0.39,4.0
mom core6 lb=126 top5,2012,29.33,32.9,-41.67,0.95,0.7,7.8,mom,1823,32.46,52.15,-68.79,0.8,0.47,7.6
theme4 UPRO/TECL/TMF/UGL 25/25/25/25,2012,20.87,22.57,-28.94,0.95,0.72,4.5,static,1823,29.32,37.1,-60.11,0.88,0.49,6.4
theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25,2012,20.76,22.66,-28.63,0.95,0.73,4.5,static,1823,29.24,34.56,-56.58,0.92,0.52,6.4
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,2012,18.35,19.69,-24.46,0.95,0.75,3.8,static,1823,26.85,30.27,-52.81,0.94,0.51,5.6
3sleeve 30/40/30 TQQQ/TMF/UGL,2012,19.23,21.0,-28.92,0.94,0.66,4.1,static,1823,19.59,31.86,-63.83,0.72,0.31,3.6
invvol-s core6 lb=126 tv=60%,2012,52.84,96.16,-90.72,0.94,0.58,29.6,invvol-scaled,1823,11.88,114.4,-94.71,0.7,0.13,2.3
HFEA-Tech 90/10 TQQQ/TMF,2012,36.69,44.31,-53.59,0.93,0.68,12.1,static,1823,34.68,63.82,-79.78,0.79,0.43,8.6
3sleeve 80/10/10 TQQQ/TMF/UGL,2012,33.27,39.33,-48.51,0.93,0.69,9.9,static,1823,36.75,57.31,-75.5,0.83,0.49,9.6
3sleeve 70/20/10 UPRO/TMF/UGL,2012,24.63,27.79,-37.15,0.93,0.66,5.8,static,1823,24.84,41.65,-60.56,0.74,0.41,5.0
theme4 UPRO/QLD/UBT/UGL 25/25/25/25,2012,17.35,19.08,-24.63,0.93,0.7,3.6,static,1823,25.8,29.36,-50.62,0.93,0.51,5.3
invvol-s core6 lb=126 tv=40%,2012,47.29,64.76,-75.95,0.93,0.62,22.0,invvol-scaled,1823,26.31,76.26,-83.62,0.7,0.31,5.4
invvol-s core6 lb=126 tv=25%,2012,34.02,40.48,-54.73,0.93,0.62,10.4,invvol-scaled,1823,24.2,47.66,-65.42,0.7,0.37,4.8
HFEA 80/20 UPRO/TMF,2012,27.53,31.74,-41.03,0.93,0.67,7.0,static,1823,23.29,46.68,-63.9,0.68,0.36,4.5
3sleeve 30/60/10 UPRO/TMF/UGL,2012,19.94,22.27,-29.22,0.93,0.68,4.3,static,1823,5.01,32.71,-71.57,0.31,0.07,1.4
theme4 SSO/QLD/UBT/UGL 25/25/25/25,2012,14.84,16.32,-20.35,0.93,0.73,3.0,static,1823,23.15,25.21,-46.46,0.95,0.5,4.5
mom core6 lb=126 top3,2012,32.5,38.97,-39.97,0.92,0.81,9.5,mom,1823,10.36,62.49,-75.1,0.48,0.14,2.0
HFEA 30/70 UPRO/TMF,2012,21.82,24.9,-31.06,0.92,0.7,4.8,static,1823,-0.3,35.7,-77.2,0.17,-0.0,1.0
3sleeve 70/10/20 TQQQ/TMF/UGL,2012,29.44,34.69,-43.02,0.92,0.68,7.8,static,1823,38.03,51.08,-71.17,0.89,0.53,10.3
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,2012,27.68,32.17,-40.03,0.92,0.69,7.0,static,1823,38.59,51.7,-70.19,0.89,0.55,10.6
invvol-s clean4 lb=21 tv=80%,2012,51.48,91.11,-82.05,0.92,0.63,27.5,invvol-scaled,1823,40.75,114.68,-94.78,0.89,0.43,11.9
3sleeve 60/20/20 UPRO/TMF/UGL,2012,21.44,24.42,-33.59,0.92,0.64,4.7,static,1823,25.86,37.08,-57.11,0.81,0.45,5.3
invvol-s core6 lb=126 tv=80%,2012,44.53,118.08,-93.83,0.92,0.47,18.9,invvol-scaled,1823,-18.7,152.28,-99.53,0.69,-0.19,0.2
3sleeve 40/30/30 UPRO/TMF/UGL,2012,17.05,19.37,-25.29,0.91,0.67,3.5,static,1823,21.2,29.97,-55.55,0.79,0.38,4.0
3sleeve 30/50/20 UPRO/TMF/UGL,2012,17.84,20.34,-27.43,0.91,0.65,3.7,static,1823,10.29,30.35,-64.9,0.47,0.16,2.0
invvol clean4 lb=126,2012,18.02,20.42,-24.99,0.91,0.72,3.8,invvol,1823,18.65,30.17,-54.68,0.72,0.34,3.4
mom core6 lb=126 top4,2012,30.36,37.42,-44.96,0.9,0.68,8.3,mom,1823,30.2,56.99,-67.74,0.75,0.45,6.7
invvol-s clean4 lb=63 tv=80%,2012,48.03,88.27,-82.64,0.9,0.58,22.9,invvol-scaled,1823,26.92,113.04,-94.85,0.79,0.28,5.6
invvol-s core6 lb=252 tv=25%,2012,30.52,37.29,-50.32,0.9,0.61,8.4,invvol-scaled,1823,15.38,46.15,-68.74,0.54,0.22,2.8
invvol-s core6 lb=252 tv=40%,2012,42.97,59.67,-72.1,0.9,0.6,17.4,invvol-scaled,1823,13.03,73.84,-86.48,0.54,0.15,2.4
invvol core6 lb=252,2012,20.57,23.94,-28.82,0.9,0.71,4.5,invvol,1823,20.14,39.05,-62.01,0.67,0.32,3.8
invvol-s core6 lb=252 tv=60%,2012,48.77,89.07,-88.58,0.9,0.55,23.9,invvol-scaled,1823,-4.1,110.76,-96.28,0.54,-0.04,0.7
invvol-s core6 lb=63 tv=25%,2012,33.02,42.33,-54.78,0.89,0.6,9.8,invvol-scaled,1823,30.18,48.59,-62.47,0.79,0.48,6.7
invvol-s core6 lb=252 tv=80%,2012,42.88,110.5,-93.05,0.89,0.46,17.3,invvol-scaled,1823,-32.7,147.64,-99.72,0.54,-0.33,0.1
mom big8 lb=126 top3,2012,30.99,39.16,-38.71,0.89,0.8,8.6,mom,1823,11.06,60.59,-75.1,0.48,0.15,2.1
theme4 SSO/TECL/UBT/UGL 25/25/25/25,2012,16.7,19.6,-24.94,0.89,0.67,3.4,static,1823,28.95,31.78,-51.62,0.96,0.56,6.3
invvol-s core6 lb=63 tv=40%,2012,44.4,67.73,-76.04,0.89,0.58,18.8,invvol-scaled,1823,35.73,77.75,-80.97,0.79,0.44,9.1
3sleeve 60/10/30 TQQQ/TMF/UGL,2012,25.26,30.56,-37.1,0.89,0.68,6.0,static,1823,38.52,45.27,-66.63,0.95,0.58,10.6
invvol-s core6 lb=21 tv=80%,2012,37.54,120.37,-90.73,0.89,0.41,12.7,invvol-scaled,1823,30.41,150.29,-97.83,0.96,0.31,6.8
theme4 UPRO/TECL/UBT/UGL 25/25/25/25,2012,19.09,22.55,-29.07,0.89,0.66,4.0,static,1823,31.28,36.11,-55.65,0.93,0.56,7.2
invvol-s clean4 lb=63 tv=40%,2012,36.16,47.79,-65.51,0.89,0.55,11.8,invvol-scaled,1823,33.63,57.5,-72.88,0.79,0.46,8.1
invvol-s clean4 lb=63 tv=25%,2012,24.66,29.87,-46.32,0.89,0.53,5.8,invvol-scaled,1823,24.68,35.94,-54.1,0.79,0.46,4.9
mom big8 lb=126 top4,2012,29.88,38.18,-41.43,0.88,0.72,8.1,mom,1823,21.41,54.96,-71.15,0.63,0.3,4.1
invvol-s core6 lb=63 tv=80%,2012,36.17,120.21,-92.26,0.88,0.39,11.8,invvol-scaled,1823,0.34,151.36,-98.61,0.8,0.0,1.0
invvol-s core6 lb=63 tv=60%,2012,43.57,99.51,-89.77,0.88,0.49,17.9,invvol-scaled,1823,24.31,116.63,-93.19,0.79,0.26,4.8
theme4 UPRO/TQQQ/TYD/UGL 25/25/25/25,2012,19.59,23.5,-28.06,0.88,0.7,4.2,static,1823,29.92,34.45,-54.41,0.93,0.55,6.6
theme4 SSO/TQQQ/TYD/UGL 25/25/25/25,2012,17.27,20.39,-23.88,0.88,0.72,3.6,static,1823,27.55,30.04,-50.25,0.96,0.55,5.8
invvol-s clean4 lb=63 tv=60%,2012,44.36,71.1,-81.15,0.88,0.55,18.8,invvol-scaled,1823,35.88,86.25,-87.47,0.79,0.41,9.2
mom core6 lb=126 top2,2012,32.24,43.05,-49.11,0.87,0.66,9.3,mom,1823,3.03,63.15,-74.96,0.37,0.04,1.2
3sleeve 40/20/40 TQQQ/TMF/UGL,2012,19.04,23.06,-29.2,0.87,0.65,4.0,static,1823,31.91,34.77,-60.57,0.97,0.53,7.4
invvol-s clean4 lb=126 tv=60%,2012,42.35,68.63,-80.48,0.87,0.53,16.8,invvol-scaled,1823,21.76,84.32,-89.39,0.67,0.24,4.2
invvol-s clean4 lb=126 tv=80%,2012,43.28,86.58,-85.25,0.86,0.51,17.7,invvol-scaled,1823,8.99,112.37,-96.28,0.66,0.09,1.9
invvol-s clean4 lb=126 tv=40%,2012,33.44,45.88,-63.43,0.86,0.53,10.0,invvol-scaled,1823,23.89,56.21,-75.57,0.67,0.32,4.7
invvol-s clean4 lb=126 tv=25%,2012,22.82,28.68,-44.14,0.86,0.52,5.2,invvol-scaled,1823,18.74,35.13,-56.97,0.67,0.33,3.5
theme4 UPRO/QLD/TYD/UGL 25/25/25/25,2012,16.28,19.82,-23.99,0.86,0.68,3.3,static,1823,26.49,29.16,-48.14,0.95,0.55,5.5
3sleeve 50/20/30 UPRO/TMF/UGL,2012,17.97,21.89,-30.02,0.86,0.6,3.7,static,1823,26.33,33.17,-53.58,0.87,0.49,5.4
100% QLD,2012,26.31,33.94,-42.46,0.86,0.62,6.5,static,1823,32.08,48.13,-63.68,0.82,0.5,7.5
invvol-s clean4 lb=21 tv=60%,2012,42.65,76.41,-81.42,0.86,0.52,17.1,invvol-scaled,1823,49.21,88.73,-87.68,0.9,0.56,18.1
100% TQQQ,2012,35.79,50.8,-58.08,0.86,0.62,11.5,static,1823,36.8,71.13,-81.66,0.8,0.45,9.7
theme4 SSO/QLD/TYD/UGL 25/25/25/25,2012,13.85,16.85,-19.66,0.85,0.7,2.8,static,1823,23.86,24.86,-43.62,0.99,0.55,4.7
mom core6 lb=252 top4,2012,26.84,35.45,-50.3,0.85,0.53,6.7,mom,1823,17.03,55.09,-72.22,0.56,0.24,3.1
mom core6 lb=63 top5,2012,25.46,33.48,-41.07,0.85,0.62,6.1,mom,1823,34.65,51.59,-67.74,0.84,0.51,8.6
mom big8 lb=252 top5,2012,26.67,34.83,-50.21,0.85,0.53,6.6,mom,1823,21.64,51.23,-68.61,0.64,0.32,4.1
invvol-s core6 lb=21 tv=60%,2012,38.05,103.82,-88.17,0.85,0.43,13.1,invvol-scaled,1823,53.57,117.91,-93.14,0.97,0.58,22.3
mom core6 lb=126 top1,2012,34.38,50.35,-59.25,0.84,0.58,10.6,mom,1823,3.43,73.41,-80.27,0.42,0.04,1.3
3sleeve 30/30/40 TQQQ/TMF/UGL,2012,16.66,21.0,-31.86,0.84,0.52,3.4,static,1823,24.92,31.19,-59.85,0.87,0.42,5.0
invvol-s clean4 lb=21 tv=25%,2012,24.83,32.92,-47.35,0.84,0.52,5.9,invvol-scaled,1823,30.17,37.33,-54.5,0.89,0.55,6.7
3sleeve 30/40/30 UPRO/TMF/UGL,2012,15.53,19.34,-25.64,0.84,0.61,3.2,static,1823,15.51,28.77,-57.79,0.65,0.27,2.8
invvol-s clean4 lb=21 tv=40%,2012,35.13,52.67,-66.66,0.84,0.53,11.1,invvol-scaled,1823,42.46,59.72,-73.23,0.89,0.58,12.9
4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL,2012,16.72,21.47,-25.8,0.83,0.65,3.4,static,1823,29.24,32.12,-54.92,0.96,0.53,6.4
3sleeve 50/10/40 TQQQ/TMF/UGL,2012,20.75,27.18,-30.73,0.83,0.68,4.5,static,1823,38.19,40.04,-61.72,1.01,0.62,10.4
theme4 UPRO/TECL/TYD/UGL 25/25/25/25,2012,17.94,23.4,-28.53,0.82,0.63,3.7,static,1823,31.94,36.05,-53.44,0.95,0.6,7.4
3sleeve 80/10/10 UPRO/TMF/UGL,2012,24.2,33.16,-41.68,0.82,0.58,5.6,static,1823,28.18,47.2,-65.47,0.76,0.43,6.0
theme4 SSO/TECL/TYD/UGL 25/25/25/25,2012,15.64,20.3,-24.36,0.82,0.64,3.2,static,1823,29.64,31.62,-49.19,0.98,0.6,6.5
HFEA 90/10 UPRO/TMF,2012,26.7,37.34,-45.68,0.82,0.58,6.6,static,1823,26.05,52.47,-70.58,0.71,0.37,5.3
mom core6 lb=252 top5,2012,22.65,31.12,-43.98,0.81,0.52,5.1,mom,1823,22.31,52.26,-71.32,0.65,0.31,4.3
3sleeve 70/10/20 UPRO/TMF/UGL,2012,21.39,29.39,-38.2,0.81,0.56,4.7,static,1823,29.77,42.28,-59.78,0.83,0.5,6.6
invvol clean4 lb=252,2012,14.37,18.85,-22.66,0.81,0.63,2.9,invvol,1823,14.4,30.08,-55.41,0.6,0.26,2.6
invvol-s core6 lb=21 tv=40%,2012,37.2,74.16,-76.46,0.81,0.49,12.5,invvol-scaled,1823,54.97,79.93,-80.74,0.95,0.68,23.8
invvol-s core6 lb=21 tv=25%,2012,30.37,46.35,-55.65,0.81,0.55,8.3,invvol-scaled,1823,42.01,49.96,-62.17,0.95,0.68,12.6
3sleeve 20/70/10 TQQQ/TMF/UGL,2012,19.81,26.84,-34.06,0.81,0.58,4.2,static,1823,1.35,36.53,-77.46,0.22,0.02,1.1
mom big8 lb=126 top5,2012,25.58,37.63,-48.67,0.8,0.53,6.2,mom,1823,30.85,52.77,-69.36,0.78,0.44,7.0
HFEA-Tech 20/80 TQQQ/TMF,2012,21.41,29.84,-37.08,0.8,0.58,4.7,static,1823,-4.03,39.9,-82.08,0.1,-0.05,0.7
mom big8 lb=252 top4,2012,25.39,37.08,-50.16,0.8,0.51,6.1,mom,1823,15.59,53.97,-67.31,0.54,0.23,2.9
invvol big8 lb=126,2012,21.46,29.82,-37.43,0.8,0.57,4.7,invvol,1823,22.83,41.22,-61.54,0.71,0.37,4.4
3sleeve 20/60/20 TQQQ/TMF/UGL,2012,17.98,24.35,-32.27,0.8,0.56,3.7,static,1823,6.72,33.65,-71.9,0.36,0.09,1.6
invvol-s clean4 lb=252 tv=60%,2012,34.3,63.66,-77.04,0.79,0.45,10.5,invvol-scaled,1823,8.96,82.06,-91.78,0.53,0.1,1.9
mom core6 lb=63 top4,2012,24.98,37.18,-46.13,0.79,0.54,5.9,mom,1823,31.33,53.6,-71.54,0.78,0.44,7.2
invvol-s clean4 lb=252 tv=25%,2012,18.95,26.54,-39.71,0.79,0.48,4.0,invvol-scaled,1823,12.89,34.19,-60.46,0.53,0.21,2.4
invvol big8 lb=21,2012,21.33,30.28,-33.06,0.79,0.65,4.7,invvol,1823,27.92,40.43,-60.78,0.81,0.46,5.9
invvol big8 lb=252,2012,18.92,26.42,-35.97,0.79,0.53,4.0,invvol,1823,17.4,40.79,-61.98,0.6,0.28,3.2
invvol-s clean4 lb=252 tv=40%,2012,27.52,42.47,-58.69,0.79,0.47,7.0,invvol-scaled,1823,14.61,54.7,-79.01,0.53,0.18,2.7
invvol-s clean4 lb=252 tv=80%,2012,35.12,81.01,-82.92,0.79,0.42,11.1,invvol-scaled,1823,-5.13,109.41,-97.17,0.53,-0.05,0.7
invvol-s big8 lb=126 tv=25%,2012,30.12,49.83,-67.11,0.78,0.45,8.2,invvol-scaled,1823,19.5,56.98,-75.24,0.6,0.26,3.6
invvol-s big8 lb=252 tv=25%,2012,28.47,45.18,-63.68,0.78,0.45,7.4,invvol-scaled,1823,9.39,55.34,-76.33,0.45,0.12,1.9
invvol-s big8 lb=126 tv=60%,2012,21.83,116.49,-95.87,0.78,0.23,4.8,invvol-scaled,1823,-20.98,136.74,-99.51,0.6,-0.21,0.2
invvol-s big8 lb=252 tv=80%,2012,17.85,125.6,-96.75,0.78,0.18,3.7,invvol-scaled,1823,,174.41,-100.08,0.45,,-0.0
invvol-s big8 lb=252 tv=60%,2012,27.09,106.46,-95.25,0.78,0.28,6.8,invvol-scaled,1823,-34.79,132.82,-99.76,0.45,-0.35,0.0
invvol-s big8 lb=126 tv=40%,2012,34.52,79.73,-86.74,0.78,0.4,10.7,invvol-scaled,1823,11.98,91.16,-92.53,0.6,0.13,2.3
invvol-s big8 lb=252 tv=40%,2012,34.84,72.28,-84.44,0.78,0.41,10.9,invvol-scaled,1823,-2.03,88.55,-93.24,0.45,-0.02,0.9
invvol-s big8 lb=126 tv=80%,2012,7.13,137.54,-97.05,0.77,0.07,1.7,invvol-scaled,1823,,177.95,-100.11,0.59,,-0.0
mom core6 lb=21 top5,2012,22.29,33.54,-43.18,0.77,0.52,5.0,mom,1823,37.21,51.3,-73.1,0.87,0.51,9.9
3sleeve 20/50/30 TQQQ/TMF/UGL,2012,15.93,22.55,-33.18,0.77,0.48,3.3,static,1823,12.07,31.4,-65.74,0.52,0.18,2.3
3sleeve 60/10/30 UPRO/TMF/UGL,2012,18.28,26.2,-34.69,0.77,0.53,3.8,static,1823,30.8,37.85,-53.47,0.9,0.58,7.0
invvol big8 lb=63,2012,20.73,30.28,-35.62,0.77,0.58,4.5,invvol,1823,24.43,40.91,-61.32,0.74,0.4,4.9
invvol-s big8 lb=21 tv=80%,2012,5.49,137.89,-95.28,0.76,0.06,1.5,invvol-scaled,1823,-5.95,165.37,-99.15,0.84,-0.06,0.6
3sleeve 40/20/40 UPRO/TMF/UGL,2012,14.26,20.53,-26.46,0.75,0.54,2.9,static,1823,26.26,30.17,-50.36,0.92,0.52,5.4
100% TECL,2012,28.55,50.46,-59.71,0.75,0.48,7.4,static,1823,40.8,78.62,-77.96,0.83,0.52,11.9
3sleeve 20/70/10 UPRO/TMF/UGL,2012,17.27,26.17,-34.81,0.74,0.5,3.6,static,1823,-1.08,35.09,-77.28,0.15,-0.01,0.9
mom big8 lb=126 top2,2012,25.17,43.06,-50.09,0.74,0.5,6.0,mom,1823,2.9,62.21,-74.96,0.36,0.04,1.2
HFEA 20/80 UPRO/TMF,2012,18.85,29.2,-36.48,0.74,0.52,4.0,static,1823,-6.32,38.55,-81.93,0.02,-0.08,0.6
100% SSO,2012,18.73,28.97,-36.57,0.74,0.51,3.9,static,1823,23.86,39.28,-59.34,0.74,0.4,4.7
invvol-s big8 lb=63 tv=40%,2012,29.45,82.71,-86.36,0.74,0.34,7.9,invvol-scaled,1823,20.37,91.51,-89.99,0.68,0.23,3.8
invvol-s big8 lb=63 tv=25%,2012,27.83,51.7,-66.58,0.74,0.42,7.1,invvol-scaled,1823,24.62,57.19,-72.0,0.68,0.34,4.9
100% UPRO,2012,25.21,43.41,-51.73,0.74,0.49,6.0,static,1823,27.96,58.8,-76.82,0.72,0.36,6.0
UPRO/UGL 90/10,2012,23.13,39.11,-46.51,0.73,0.5,5.3,static,1823,30.69,53.41,-72.51,0.77,0.42,6.9
3sleeve 30/30/40 UPRO/TMF/UGL,2012,13.03,19.42,-26.96,0.73,0.48,2.7,static,1823,20.64,28.09,-52.72,0.81,0.39,3.9
