label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family
invvol-s clean4 lb=21 tv=80% @ 21d,3835,56.34,102.43,-94.95,0.96,0.59,897.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 21d,3835,55.06,110.0,-93.23,0.96,0.59,792.9,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 21d,3835,53.65,81.84,-88.19,0.94,0.61,690.0,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 21d,3835,52.91,75.96,-80.78,0.95,0.65,640.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 3d,3835,49.57,105.71,-93.17,0.92,0.53,457.9,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 5d,3835,49.15,106.58,-93.1,0.92,0.53,438.8,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 3d,3835,48.92,72.37,-80.71,0.92,0.61,428.6,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 3d,3835,48.8,98.83,-96.22,0.91,0.51,423.3,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 5d,3835,48.71,73.12,-80.6,0.92,0.6,419.4,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 5d,3835,48.28,99.19,-96.21,0.91,0.5,401.3,invvol-scaled
invvol-s core6 lb=21 tv=40% @ 10d,3835,47.92,74.94,-81.6,0.9,0.59,386.7,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 5d,3835,47.73,79.48,-88.14,0.9,0.54,379.5,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 3d,3835,47.7,78.69,-88.47,0.9,0.54,378.0,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 5d,3835,47.5,69.87,-81.24,0.91,0.58,370.3,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 3d,3835,47.48,69.42,-81.55,0.91,0.58,369.7,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 3d,3835,47.45,103.31,-93.57,0.91,0.51,368.4,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 5d,3835,46.97,104.03,-93.43,0.9,0.5,350.8,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 10d,3835,46.76,71.26,-81.58,0.9,0.57,343.3,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 10d,3835,46.69,100.33,-96.28,0.9,0.48,340.7,invvol-scaled
invvol-s core6 lb=63 tv=40% @ 21d,3835,46.43,72.84,-81.61,0.89,0.57,331.6,invvol-scaled
invvol-s clean4 lb=21 tv=80% @ 5d,3835,46.42,99.72,-94.84,0.89,0.49,331.1,invvol-scaled
invvol-s clean4 lb=63 tv=60% @ 5d,3835,46.33,76.24,-88.04,0.89,0.53,328.2,invvol-scaled
invvol-s core6 lb=126 tv=40% @ 21d,3835,46.27,70.93,-84.42,0.9,0.55,326.2,invvol-scaled
invvol-s core6 lb=252 tv=40% @ 3d,3835,46.26,66.03,-86.43,0.91,0.54,325.8,invvol-scaled
invvol-s clean4 lb=21 tv=80% @ 3d,3835,46.23,98.99,-95.81,0.89,0.48,324.7,invvol-scaled
invvol-s core6 lb=252 tv=40% @ 5d,3835,46.12,66.27,-86.38,0.91,0.53,321.2,invvol-scaled
invvol-s clean4 lb=21 tv=60% @ 10d,3835,45.94,81.03,-89.83,0.88,0.51,314.9,invvol-scaled
invvol-s clean4 lb=63 tv=60% @ 10d,3835,45.89,77.64,-88.24,0.88,0.52,313.6,invvol-scaled
invvol-s core6 lb=126 tv=40% @ 5d,3835,45.83,69.05,-83.34,0.9,0.55,311.5,invvol-scaled
invvol-s core6 lb=126 tv=60% @ 21d,3835,45.74,105.92,-95.12,0.9,0.48,308.7,invvol-scaled
invvol-s clean4 lb=63 tv=80% @ 5d,3835,45.65,98.26,-95.24,0.89,0.48,305.6,invvol-scaled
invvol-s clean4 lb=63 tv=60% @ 21d,3835,45.63,78.84,-87.84,0.88,0.52,305.0,invvol-scaled
invvol-s clean4 lb=63 tv=60% @ 3d,3835,45.63,75.78,-88.3,0.88,0.52,305.2,invvol-scaled
invvol-s core6 lb=126 tv=60% @ 5d,3835,45.59,103.15,-94.71,0.9,0.48,303.7,invvol-scaled
invvol-s core6 lb=252 tv=40% @ 10d,3835,45.35,67.09,-86.51,0.9,0.52,296.4,invvol-scaled
invvol-s core6 lb=126 tv=40% @ 3d,3835,45.23,68.69,-83.51,0.89,0.54,292.7,invvol-scaled
invvol-s core6 lb=126 tv=60% @ 3d,3835,45.16,102.62,-94.75,0.89,0.48,290.4,invvol-scaled
invvol-s core6 lb=21 tv=80% @ 21d,3835,44.95,135.0,-97.86,0.97,0.46,284.1,invvol-scaled
invvol-s clean4 lb=63 tv=80% @ 3d,3835,44.86,97.75,-95.37,0.88,0.47,281.5,invvol-scaled
invvol-s clean4 lb=63 tv=80% @ 21d,3835,44.8,101.02,-94.96,0.88,0.47,279.7,invvol-scaled
invvol-s clean4 lb=63 tv=80% @ 10d,3835,44.79,99.89,-95.45,0.88,0.47,279.4,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 10d,3835,44.23,106.04,-93.63,0.89,0.47,263.2,invvol-scaled
invvol-s core6 lb=21 tv=60% @ 10d,3835,44.11,108.74,-93.64,0.89,0.47,260.1,invvol-scaled
invvol-s core6 lb=126 tv=40% @ 10d,3835,43.98,69.98,-83.56,0.88,0.53,256.4,invvol-scaled
invvol-s clean4 lb=126 tv=60% @ 21d,3835,43.74,77.1,-89.99,0.86,0.49,250.0,invvol-scaled
invvol-s clean4 lb=21 tv=40% @ 21d,3835,43.72,55.44,-73.55,0.94,0.59,249.5,invvol-scaled
invvol-s core6 lb=252 tv=40% @ 21d,3835,43.5,67.86,-86.87,0.88,0.5,243.7,invvol-scaled
invvol-s clean4 lb=21 tv=80% @ 10d,3835,43.3,101.48,-95.9,0.87,0.45,238.7,invvol-scaled
invvol-s core6 lb=252 tv=60% @ 21d,3835,43.25,101.59,-96.45,0.88,0.45,237.3,invvol-scaled
invvol-s core6 lb=63 tv=60% @ 21d,3835,43.01,108.26,-93.47,0.89,0.46,231.5,invvol-scaled
invvol-s clean4 lb=126 tv=60% @ 5d,3835,42.93,75.23,-89.64,0.86,0.48,229.5,invvol-scaled
invvol-s core6 lb=126 tv=60% @ 10d,3835,42.24,104.46,-94.86,0.88,0.45,213.1,invvol-scaled
invvol-s clean4 lb=252 tv=60% @ 3d,3835,42.18,72.54,-91.92,0.86,0.46,211.7,invvol-scaled
invvol-s clean4 lb=252 tv=60% @ 5d,3835,42.13,72.76,-91.91,0.85,0.46,210.8,invvol-scaled
invvol-s clean4 lb=126 tv=60% @ 3d,3835,41.98,74.91,-89.7,0.85,0.47,207.3,invvol-scaled
invvol-s clean4 lb=126 tv=60% @ 10d,3835,41.53,76.31,-89.8,0.84,0.46,197.5,invvol-scaled
invvol-s clean4 lb=252 tv=80% @ 3d,3835,41.43,95.06,-97.23,0.85,0.43,195.5,invvol-scaled
invvol-s clean4 lb=252 tv=60% @ 10d,3835,41.3,73.69,-92.02,0.85,0.45,192.7,invvol-scaled
invvol-s clean4 lb=252 tv=80% @ 5d,3835,41.03,95.35,-97.23,0.85,0.42,187.1,invvol-scaled
invvol-s clean4 lb=126 tv=80% @ 21d,3835,40.77,100.44,-96.18,0.86,0.42,182.1,invvol-scaled
invvol-s clean4 lb=126 tv=80% @ 5d,3835,40.41,98.06,-96.14,0.85,0.42,175.0,invvol-scaled
invvol-s core6 lb=21 tv=80% @ 5d,3835,40.21,130.85,-97.73,0.93,0.41,171.4,invvol-scaled
invvol-s core6 lb=21 tv=25% @ 21d,3835,39.83,47.47,-62.32,0.95,0.64,164.3,invvol-scaled
invvol-s big8 lb=21 tv=40% @ 21d,3835,39.73,90.13,-85.94,0.83,0.46,162.5,invvol-scaled
invvol-s clean4 lb=252 tv=80% @ 10d,3835,39.72,96.48,-97.28,0.84,0.41,162.5,invvol-scaled
invvol-s core6 lb=21 tv=80% @ 3d,3835,39.71,130.23,-97.77,0.93,0.41,162.2,invvol-scaled
invvol-s clean4 lb=252 tv=60% @ 21d,3835,39.67,74.43,-92.13,0.83,0.43,161.6,invvol-scaled
invvol-s clean4 lb=126 tv=80% @ 3d,3835,39.44,97.67,-96.23,0.84,0.41,157.6,invvol-scaled
invvol-s clean4 lb=21 tv=40% @ 5d,3835,38.9,53.89,-73.74,0.88,0.53,148.4,invvol-scaled
invvol-s clean4 lb=21 tv=40% @ 3d,3835,38.84,53.25,-74.21,0.89,0.52,147.4,invvol-scaled
invvol-s clean4 lb=21 tv=40% @ 10d,3835,38.68,55.13,-75.14,0.87,0.51,144.9,invvol-scaled
invvol-s clean4 lb=63 tv=40% @ 10d,3835,38.5,51.9,-73.87,0.89,0.52,142.1,invvol-scaled
invvol-s clean4 lb=126 tv=80% @ 10d,3835,38.43,99.37,-96.21,0.84,0.4,141.0,invvol-scaled
invvol-s clean4 lb=63 tv=40% @ 21d,3835,38.38,52.75,-73.33,0.88,0.52,140.2,invvol-scaled
invvol-s clean4 lb=63 tv=40% @ 5d,3835,38.31,50.94,-73.68,0.89,0.52,139.2,invvol-scaled
invvol-s clean4 lb=63 tv=40% @ 3d,3835,37.8,50.65,-74.05,0.89,0.51,131.5,invvol-scaled
invvol-s clean4 lb=252 tv=80% @ 21d,3835,37.02,97.49,-97.35,0.82,0.38,120.6,invvol-scaled
invvol-s core6 lb=21 tv=25% @ 5d,3835,36.81,45.79,-61.69,0.92,0.6,117.9,invvol-scaled
invvol-s core6 lb=21 tv=25% @ 3d,3835,36.7,45.25,-61.81,0.92,0.59,116.4,invvol-scaled
invvol-s core6 lb=21 tv=25% @ 10d,3835,36.67,46.91,-62.91,0.9,0.58,116.1,invvol-scaled
invvol-s clean4 lb=126 tv=40% @ 21d,3835,36.25,51.46,-76.31,0.86,0.48,110.7,invvol-scaled
invvol-s big8 lb=21 tv=25% @ 21d,3835,36.12,56.42,-67.73,0.83,0.53,109.1,invvol-scaled
invvol-s core6 lb=63 tv=80% @ 3d,3835,35.7,131.3,-98.09,0.91,0.36,104.1,invvol-scaled
invvol-s big8 lb=252 tv=40% @ 3d,3835,35.64,78.89,-89.93,0.79,0.4,103.4,invvol-scaled
invvol-s clean4 lb=126 tv=40% @ 5d,3835,35.48,50.18,-75.86,0.86,0.47,101.6,invvol-scaled
invvol-s core6 lb=63 tv=25% @ 21d,3835,35.31,45.53,-63.25,0.89,0.56,99.7,invvol-scaled
invvol-s core6 lb=63 tv=25% @ 5d,3835,35.21,43.67,-62.71,0.91,0.56,98.5,invvol-scaled
invvol-s big8 lb=252 tv=40% @ 5d,3835,35.12,79.26,-90.33,0.79,0.39,97.5,invvol-scaled
invvol-s core6 lb=63 tv=25% @ 10d,3835,35.11,44.54,-62.88,0.9,0.56,97.4,invvol-scaled
invvol-s core6 lb=63 tv=25% @ 3d,3835,35.09,43.39,-63.24,0.91,0.55,97.3,invvol-scaled
invvol-s core6 lb=63 tv=80% @ 5d,3835,34.87,132.0,-98.03,0.91,0.36,94.9,invvol-scaled
invvol-s clean4 lb=126 tv=40% @ 10d,3835,34.84,50.91,-76.06,0.84,0.46,94.6,invvol-scaled
invvol-s clean4 lb=126 tv=40% @ 3d,3835,34.81,49.96,-75.91,0.85,0.46,94.2,invvol-scaled
invvol-s core6 lb=126 tv=25% @ 21d,3835,34.73,44.33,-66.45,0.9,0.52,93.4,invvol-scaled
invvol-s big8 lb=63 tv=40% @ 3d,3835,34.48,82.82,-86.43,0.78,0.4,90.7,invvol-scaled
invvol-s core6 lb=252 tv=80% @ 3d,3835,34.44,128.25,-99.31,0.9,0.35,90.4,invvol-scaled
invvol-s clean4 lb=252 tv=40% @ 5d,3835,34.39,48.52,-79.11,0.85,0.43,89.9,invvol-scaled
invvol-s clean4 lb=252 tv=40% @ 3d,3835,34.37,48.37,-79.13,0.86,0.43,89.7,invvol-scaled
invvol-s core6 lb=126 tv=25% @ 5d,3835,34.08,43.16,-65.16,0.9,0.52,86.8,invvol-scaled
invvol-s clean4 lb=252 tv=40% @ 10d,3835,34.07,49.15,-79.25,0.85,0.43,86.7,invvol-scaled
invvol-s big8 lb=21 tv=40% @ 5d,3835,33.96,86.95,-86.43,0.78,0.39,85.6,invvol-scaled
invvol-s big8 lb=21 tv=40% @ 3d,3835,33.78,86.14,-86.79,0.78,0.39,83.9,invvol-scaled
invvol-s big8 lb=63 tv=40% @ 5d,3835,33.75,83.45,-86.15,0.78,0.39,83.5,invvol-scaled
invvol-s core6 lb=252 tv=25% @ 3d,3835,33.67,41.27,-68.76,0.91,0.49,82.8,invvol-scaled
invvol-s core6 lb=252 tv=25% @ 5d,3835,33.66,41.42,-68.68,0.91,0.49,82.7,invvol-scaled
invvol-s big8 lb=252 tv=40% @ 10d,3835,33.66,80.46,-91.54,0.78,0.37,82.7,invvol-scaled
invvol-s core6 lb=126 tv=25% @ 3d,3835,33.64,42.93,-65.4,0.89,0.51,82.5,invvol-scaled
invvol-s big8 lb=21 tv=40% @ 10d,3835,33.58,89.09,-87.15,0.78,0.39,81.9,invvol-scaled
invvol-s big8 lb=126 tv=40% @ 5d,3835,33.43,82.87,-88.28,0.77,0.38,80.5,invvol-scaled
invvol-s core6 lb=252 tv=25% @ 10d,3835,33.39,41.93,-68.84,0.9,0.49,80.2,invvol-scaled
invvol-s big8 lb=126 tv=40% @ 21d,3835,33.25,85.36,-90.09,0.78,0.37,78.9,invvol-scaled
invvol-s core6 lb=126 tv=25% @ 10d,3835,33.21,43.74,-65.22,0.88,0.51,78.6,invvol-scaled
invvol-s clean4 lb=252 tv=40% @ 21d,3835,33.16,49.63,-79.49,0.83,0.42,78.1,invvol-scaled
invvol-s core6 lb=252 tv=80% @ 5d,3835,33.07,128.72,-99.4,0.9,0.33,77.3,invvol-scaled
invvol-s big8 lb=126 tv=40% @ 3d,3835,32.92,82.34,-87.83,0.77,0.37,76.0,invvol-scaled
invvol-s core6 lb=252 tv=25% @ 21d,3835,32.46,42.41,-69.28,0.88,0.47,72.1,invvol-scaled
invvol-s core6 lb=21 tv=80% @ 10d,3835,32.44,133.44,-97.83,0.9,0.33,71.9,invvol-scaled
invvol-s big8 lb=21 tv=25% @ 10d,3835,32.0,55.94,-69.19,0.78,0.46,68.4,invvol-scaled
invvol-s big8 lb=63 tv=40% @ 21d,3835,31.97,87.18,-89.7,0.77,0.36,68.2,invvol-scaled
invvol-s big8 lb=63 tv=40% @ 10d,3835,31.86,85.33,-86.76,0.76,0.37,67.3,invvol-scaled
invvol-s big8 lb=21 tv=25% @ 5d,3835,31.65,54.58,-68.5,0.78,0.46,65.7,invvol-scaled
invvol-s big8 lb=252 tv=40% @ 21d,3835,31.53,81.45,-91.58,0.76,0.34,64.8,invvol-scaled
invvol-s big8 lb=21 tv=25% @ 3d,3835,31.41,53.96,-69.01,0.78,0.46,63.9,invvol-scaled
invvol-s big8 lb=126 tv=25% @ 21d,3835,30.91,53.35,-72.03,0.78,0.43,60.3,invvol-scaled
invvol-s big8 lb=63 tv=25% @ 3d,3835,30.84,51.76,-68.59,0.78,0.45,59.8,invvol-scaled
invvol-s core6 lb=252 tv=80% @ 10d,3835,30.77,130.19,-99.53,0.89,0.31,59.3,invvol-scaled
invvol-s big8 lb=63 tv=25% @ 21d,3835,30.67,54.49,-71.5,0.77,0.43,58.6,invvol-scaled
invvol-s big8 lb=252 tv=25% @ 3d,3835,30.66,49.3,-73.25,0.79,0.42,58.5,invvol-scaled
invvol-s big8 lb=63 tv=25% @ 5d,3835,30.59,52.15,-68.2,0.78,0.45,58.1,invvol-scaled
invvol-s big8 lb=252 tv=25% @ 5d,3835,30.51,49.54,-73.18,0.79,0.42,57.6,invvol-scaled
invvol-s big8 lb=126 tv=25% @ 5d,3835,30.35,51.79,-70.05,0.77,0.43,56.5,invvol-scaled
invvol-s big8 lb=126 tv=40% @ 10d,3835,30.24,84.24,-90.33,0.75,0.33,55.7,invvol-scaled
invvol core6 lb=21 @ 21d,3835,30.2,33.02,-59.23,0.96,0.51,55.5,invvol
invvol-s clean4 lb=21 tv=25% @ 21d,3835,30.15,34.65,-54.71,0.94,0.55,55.1,invvol-scaled
invvol-s core6 lb=63 tv=80% @ 10d,3835,30.13,134.35,-98.12,0.89,0.31,55.0,invvol-scaled
invvol-s mix5 lb=21 tv=60% @ 21d,3835,30.03,85.29,-91.33,0.75,0.33,54.4,invvol-scaled
invvol-s big8 lb=63 tv=25% @ 10d,3835,29.99,53.33,-68.37,0.76,0.44,54.2,invvol-scaled
invvol-s big8 lb=252 tv=25% @ 10d,3835,29.95,50.29,-73.72,0.78,0.41,53.9,invvol-scaled
invvol-s big8 lb=126 tv=25% @ 3d,3835,29.84,51.46,-70.24,0.77,0.42,53.2,invvol-scaled
invvol-s mix5 lb=21 tv=60% @ 5d,3835,29.6,82.1,-91.17,0.73,0.32,51.7,invvol-scaled
invvol core6 lb=21 @ 5d,3835,29.47,32.47,-57.9,0.96,0.51,51.0,invvol
invvol-s mix5 lb=21 tv=40% @ 21d,3835,29.43,57.83,-79.37,0.74,0.37,50.7,invvol-scaled
invvol-s core6 lb=126 tv=80% @ 3d,3835,29.35,132.36,-98.81,0.88,0.3,50.2,invvol-scaled
invvol-s mix5 lb=21 tv=60% @ 3d,3835,29.23,81.45,-91.16,0.73,0.32,49.5,invvol-scaled
invvol core6 lb=21 @ 3d,3835,29.21,32.55,-57.68,0.95,0.51,49.4,invvol
invvol-s core6 lb=126 tv=80% @ 5d,3835,29.21,132.94,-99.03,0.89,0.29,49.4,invvol-scaled
invvol core6 lb=63 @ 5d,3835,29.16,32.83,-60.6,0.94,0.48,49.1,invvol
invvol core6 lb=63 @ 3d,3835,28.99,32.84,-60.53,0.94,0.48,48.1,invvol
invvol-s core6 lb=63 tv=80% @ 21d,3835,28.94,136.21,-98.4,0.89,0.29,47.9,invvol-scaled
invvol core6 lb=21 @ 10d,3835,28.91,32.81,-58.87,0.94,0.49,47.7,invvol
invvol-s big8 lb=252 tv=25% @ 21d,3835,28.88,50.9,-74.05,0.76,0.39,47.5,invvol-scaled
invvol-s big8 lb=126 tv=25% @ 10d,3835,28.8,52.65,-72.37,0.75,0.4,47.1,invvol-scaled
invvol core6 lb=63 @ 10d,3835,28.7,33.04,-61.13,0.93,0.47,46.5,invvol
invvol core6 lb=126 @ 5d,3835,28.65,33.06,-60.92,0.93,0.47,46.2,invvol
invvol core6 lb=126 @ 21d,3835,28.48,33.3,-61.48,0.92,0.46,45.3,invvol
invvol core6 lb=126 @ 3d,3835,28.41,33.05,-61.04,0.92,0.47,44.9,invvol
invvol core6 lb=63 @ 21d,3835,28.36,33.27,-60.74,0.92,0.47,44.7,invvol
invvol core6 lb=126 @ 10d,3835,27.99,33.17,-61.09,0.91,0.46,42.8,invvol
invvol-s mix5 lb=21 tv=40% @ 5d,3835,27.94,55.75,-78.13,0.72,0.36,42.5,invvol-scaled
invvol-s mix5 lb=21 tv=40% @ 3d,3835,27.91,55.18,-78.21,0.73,0.36,42.4,invvol-scaled
invvol core6 lb=252 @ 5d,3835,27.45,32.28,-61.8,0.91,0.44,40.1,invvol
invvol core6 lb=252 @ 3d,3835,27.42,32.27,-61.83,0.91,0.44,40.0,invvol
invvol core6 lb=252 @ 10d,3835,27.27,32.39,-61.94,0.91,0.44,39.3,invvol
invvol-s clean4 lb=21 tv=25% @ 10d,3835,27.22,34.46,-56.44,0.87,0.48,39.0,invvol-scaled
invvol-s all17 lb=21 tv=25% @ 21d,3835,27.22,70.59,-81.79,0.7,0.33,39.0,invvol-scaled
invvol-s mix5 lb=126 tv=60% @ 21d,3835,27.19,80.07,-88.32,0.71,0.31,38.9,invvol-scaled
invvol-s clean4 lb=21 tv=25% @ 5d,3835,27.14,33.68,-54.97,0.88,0.49,38.6,invvol-scaled
invvol-s core6 lb=126 tv=80% @ 21d,3835,27.06,136.35,-99.2,0.89,0.27,38.2,invvol-scaled
invvol-s clean4 lb=21 tv=25% @ 3d,3835,26.99,33.28,-55.42,0.89,0.49,38.0,invvol-scaled
invvol-s mix5 lb=126 tv=60% @ 5d,3835,26.98,78.25,-86.53,0.71,0.31,37.9,invvol-scaled
invvol-s mix5 lb=21 tv=80% @ 21d,3835,26.71,105.45,-95.48,0.77,0.28,36.7,invvol-scaled
invvol big8 lb=21 @ 21d,3835,26.69,35.52,-59.73,0.84,0.45,36.6,invvol
invvol-s clean4 lb=63 tv=25% @ 21d,3835,26.65,32.97,-54.58,0.88,0.49,36.4,invvol-scaled
invvol-s clean4 lb=63 tv=25% @ 10d,3835,26.58,32.44,-55.16,0.89,0.48,36.1,invvol-scaled
invvol-s mix5 lb=126 tv=40% @ 21d,3835,26.43,53.45,-72.82,0.71,0.36,35.5,invvol-scaled
invvol-s mix5 lb=21 tv=40% @ 10d,3835,26.43,57.31,-75.22,0.7,0.35,35.5,invvol-scaled
invvol-s mix5 lb=21 tv=80% @ 5d,3835,26.4,101.66,-95.12,0.75,0.28,35.4,invvol-scaled
invvol-s clean4 lb=63 tv=25% @ 5d,3835,26.32,31.84,-54.98,0.89,0.48,35.0,invvol-scaled
invvol-s mix5 lb=21 tv=60% @ 10d,3835,26.25,84.15,-89.68,0.71,0.29,34.7,invvol-scaled
invvol core6 lb=252 @ 21d,3835,26.23,32.46,-61.97,0.88,0.42,34.6,invvol
invvol-s big8 lb=21 tv=60% @ 21d,3835,26.17,128.11,-96.31,0.85,0.27,34.4,invvol-scaled
invvol-s mix5 lb=126 tv=60% @ 3d,3835,26.0,77.95,-85.96,0.7,0.3,33.7,invvol-scaled
invvol-s mix5 lb=126 tv=40% @ 5d,3835,25.98,52.22,-70.75,0.71,0.37,33.6,invvol-scaled
invvol-s clean4 lb=63 tv=25% @ 3d,3835,25.98,31.66,-55.34,0.89,0.47,33.6,invvol-scaled
invvol big8 lb=21 @ 5d,3835,25.96,34.99,-58.99,0.84,0.44,33.5,invvol
invvol-s core6 lb=252 tv=80% @ 21d,3835,25.86,131.71,-99.57,0.87,0.26,33.1,invvol-scaled
invvol big8 lb=63 @ 5d,3835,25.65,35.35,-61.03,0.82,0.42,32.3,invvol
invvol big8 lb=21 @ 3d,3835,25.64,35.07,-58.94,0.83,0.44,32.3,invvol
invvol big8 lb=63 @ 3d,3835,25.51,35.34,-61.0,0.82,0.42,31.8,invvol
invvol big8 lb=126 @ 5d,3835,25.44,35.57,-61.3,0.82,0.41,31.5,invvol
invvol big8 lb=21 @ 10d,3835,25.34,35.34,-60.07,0.82,0.42,31.1,invvol
invvol big8 lb=126 @ 21d,3835,25.33,35.83,-61.74,0.81,0.41,31.1,invvol
invvol-s mix5 lb=126 tv=40% @ 3d,3835,25.27,52.01,-70.11,0.7,0.36,30.8,invvol-scaled
invvol big8 lb=63 @ 10d,3835,25.26,35.56,-61.48,0.81,0.41,30.8,invvol
invvol-s clean4 lb=126 tv=25% @ 21d,3835,25.21,32.16,-57.73,0.86,0.44,30.6,invvol-scaled
invvol big8 lb=126 @ 3d,3835,25.13,35.55,-61.41,0.81,0.41,30.3,invvol
