label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family
invvol big8 lb=252 @ 5d,3835,25.02,34.28,-61.82,0.82,0.4,29.9,invvol
invvol big8 lb=252 @ 3d,3835,25.0,34.27,-61.85,0.82,0.4,29.8,invvol
invvol big8 lb=63 @ 21d,3835,24.97,35.79,-61.12,0.8,0.41,29.7,invvol
invvol-s mix5 lb=126 tv=60% @ 10d,3835,24.91,79.45,-88.61,0.69,0.28,29.5,invvol-scaled
invvol-s mix5 lb=126 tv=40% @ 10d,3835,24.91,53.04,-73.17,0.69,0.34,29.5,invvol-scaled
invvol big8 lb=252 @ 10d,3835,24.85,34.41,-61.94,0.82,0.4,29.3,invvol
invvol-s mix5 lb=21 tv=80% @ 3d,3835,24.83,101.17,-95.29,0.74,0.26,29.2,invvol-scaled
invvol big8 lb=126 @ 10d,3835,24.7,35.71,-61.42,0.8,0.4,28.8,invvol
invvol-s clean4 lb=126 tv=25% @ 5d,3835,24.59,31.36,-57.14,0.86,0.43,28.4,invvol-scaled
invvol-s mix5 lb=63 tv=40% @ 5d,3835,24.53,53.33,-70.97,0.68,0.35,28.2,invvol-scaled
invvol-s all17 lb=126 tv=25% @ 21d,3835,24.34,66.92,-84.89,0.67,0.29,27.5,invvol-scaled
invvol-s clean4 lb=126 tv=25% @ 10d,3835,24.33,31.82,-57.33,0.84,0.42,27.5,invvol-scaled
invvol-s mix5 lb=63 tv=40% @ 21d,3835,24.2,55.51,-75.0,0.67,0.32,27.1,invvol-scaled
invvol-s clean4 lb=126 tv=25% @ 3d,3835,24.17,31.23,-57.2,0.85,0.42,27.0,invvol-scaled
invvol-s core6 lb=126 tv=80% @ 10d,3835,24.01,134.62,-99.26,0.86,0.24,26.4,invvol-scaled
invvol-s mix5 lb=63 tv=40% @ 3d,3835,24.0,53.07,-72.07,0.67,0.33,26.4,invvol-scaled
invvol-s all17 lb=126 tv=25% @ 5d,3835,23.92,65.0,-82.23,0.66,0.29,26.2,invvol-scaled
invvol-s mix5 lb=63 tv=40% @ 10d,3835,23.87,54.6,-71.91,0.67,0.33,26.0,invvol-scaled
invvol-s mix5 lb=63 tv=60% @ 5d,3835,23.77,79.73,-86.46,0.68,0.27,25.7,invvol-scaled
invvol-s all17 lb=21 tv=25% @ 5d,3835,23.74,68.07,-77.84,0.66,0.3,25.6,invvol-scaled
invvol-s clean4 lb=252 tv=25% @ 5d,3835,23.73,30.32,-60.54,0.85,0.39,25.5,invvol-scaled
invvol big8 lb=252 @ 21d,3835,23.73,34.48,-61.97,0.79,0.38,25.5,invvol
invvol-s all17 lb=252 tv=25% @ 3d,3835,23.71,62.07,-84.18,0.66,0.28,25.5,invvol-scaled
invvol-s clean4 lb=252 tv=25% @ 3d,3835,23.69,30.23,-60.6,0.86,0.39,25.4,invvol-scaled
invvol-s mix5 lb=252 tv=60% @ 3d,3835,23.68,75.39,-88.0,0.67,0.27,25.4,invvol-scaled
invvol-s all17 lb=252 tv=25% @ 5d,3835,23.66,62.26,-84.55,0.66,0.28,25.3,invvol-scaled
invvol-s mix5 lb=252 tv=60% @ 5d,3835,23.63,75.61,-88.33,0.67,0.27,25.2,invvol-scaled
invvol-s clean4 lb=252 tv=25% @ 10d,3835,23.63,30.72,-60.67,0.85,0.39,25.2,invvol-scaled
invvol-s all17 lb=21 tv=25% @ 3d,3835,23.37,67.44,-78.79,0.66,0.3,24.4,invvol-scaled
invvol clean4 lb=21 @ 21d,3835,23.26,25.55,-52.52,0.95,0.44,24.1,invvol
invvol-s all17 lb=126 tv=25% @ 3d,3835,23.25,64.73,-81.56,0.65,0.29,24.1,invvol-scaled
invvol-s mix5 lb=252 tv=40% @ 5d,3835,23.2,50.43,-72.91,0.67,0.32,23.9,invvol-scaled
invvol-s mix5 lb=252 tv=40% @ 3d,3835,23.18,50.28,-72.5,0.67,0.32,23.9,invvol-scaled
invvol-s clean4 lb=252 tv=25% @ 21d,3835,23.16,31.02,-61.0,0.83,0.38,23.8,invvol-scaled
invvol-s mix5 lb=63 tv=60% @ 3d,3835,23.1,79.3,-87.14,0.67,0.27,23.6,invvol-scaled
invvol-s all17 lb=21 tv=25% @ 10d,3835,22.96,69.86,-79.03,0.65,0.29,23.2,invvol-scaled
invvol clean4 lb=21 @ 5d,3835,22.8,25.15,-51.46,0.94,0.44,22.8,invvol
invvol-s mix5 lb=252 tv=40% @ 10d,3835,22.59,51.13,-75.11,0.66,0.3,22.2,invvol-scaled
invvol clean4 lb=21 @ 3d,3835,22.59,25.16,-51.46,0.94,0.44,22.2,invvol
invvol-s all17 lb=63 tv=25% @ 5d,3835,22.54,65.57,-77.49,0.64,0.29,22.1,invvol-scaled
invvol-s all17 lb=63 tv=25% @ 3d,3835,22.53,65.19,-77.87,0.64,0.29,22.0,invvol-scaled
invvol-s all17 lb=252 tv=25% @ 10d,3835,22.46,63.28,-86.86,0.65,0.26,21.8,invvol-scaled
invvol-s mix5 lb=252 tv=60% @ 10d,3835,22.33,76.65,-90.05,0.66,0.25,21.5,invvol-scaled
invvol-s mix5 lb=21 tv=25% @ 21d,3835,22.33,36.14,-60.37,0.74,0.37,21.5,invvol-scaled
invvol clean4 lb=21 @ 10d,3835,22.26,25.41,-52.93,0.92,0.42,21.3,invvol
invvol clean4 lb=63 @ 5d,3835,22.16,25.28,-53.96,0.92,0.41,21.0,invvol
invvol-s mix5 lb=63 tv=60% @ 10d,3835,22.0,81.57,-87.53,0.66,0.25,20.6,invvol-scaled
invvol-s mix5 lb=252 tv=40% @ 21d,3835,22.0,51.59,-75.38,0.65,0.29,20.6,invvol-scaled
invvol clean4 lb=63 @ 3d,3835,21.97,25.27,-53.9,0.91,0.41,20.5,invvol
invvol-s mix5 lb=63 tv=60% @ 21d,3835,21.9,82.96,-90.27,0.67,0.24,20.4,invvol-scaled
invvol clean4 lb=63 @ 10d,3835,21.76,25.43,-54.39,0.9,0.4,20.0,invvol
invvol-s big8 lb=252 tv=60% @ 3d,3835,21.72,117.47,-99.13,0.79,0.22,19.9,invvol-scaled
invvol-s all17 lb=63 tv=25% @ 21d,3835,21.61,68.44,-84.58,0.64,0.26,19.6,invvol-scaled
invvol-s all17 lb=126 tv=25% @ 10d,3835,21.5,66.17,-85.13,0.63,0.25,19.4,invvol-scaled
invvol clean4 lb=63 @ 21d,3835,21.45,25.59,-53.84,0.89,0.4,19.2,invvol
invvol-s all17 lb=252 tv=25% @ 21d,3835,21.36,64.0,-87.12,0.63,0.25,19.0,invvol-scaled
invvol clean4 lb=126 @ 5d,3835,21.24,25.46,-54.26,0.88,0.39,18.8,invvol
invvol-s mix5 lb=252 tv=60% @ 21d,3835,21.22,77.36,-90.27,0.65,0.24,18.7,invvol-scaled
invvol-s mix5 lb=21 tv=25% @ 5d,3835,21.08,34.85,-59.13,0.72,0.36,18.4,invvol-scaled
invvol clean4 lb=126 @ 3d,3835,21.05,25.44,-54.35,0.88,0.39,18.3,invvol
invvol clean4 lb=126 @ 21d,3835,21.03,25.67,-54.79,0.87,0.38,18.2,invvol
invvol-s mix5 lb=21 tv=25% @ 3d,3835,20.97,34.49,-59.3,0.73,0.35,18.1,invvol-scaled
invvol clean4 lb=126 @ 10d,3835,20.8,25.56,-54.44,0.87,0.38,17.7,invvol
invvol-s mix5 lb=21 tv=80% @ 10d,3835,20.79,104.2,-94.38,0.72,0.22,17.7,invvol-scaled
invvol-s all17 lb=63 tv=25% @ 10d,3835,20.79,67.16,-81.8,0.63,0.25,17.7,invvol-scaled
invvol-s mix5 lb=21 tv=25% @ 10d,3835,20.45,35.82,-55.78,0.7,0.37,17.0,invvol-scaled
invvol-s big8 lb=21 tv=60% @ 5d,3835,20.42,124.28,-96.29,0.79,0.21,16.9,invvol-scaled
invvol-s mix5 lb=126 tv=80% @ 5d,3835,20.1,101.34,-94.62,0.71,0.21,16.2,invvol-scaled
invvol-s big8 lb=252 tv=60% @ 5d,3835,19.97,118.03,-99.29,0.79,0.2,16.0,invvol-scaled
invvol-s mix5 lb=126 tv=25% @ 21d,3835,19.84,33.4,-53.34,0.71,0.37,15.7,invvol-scaled
invvol clean4 lb=252 @ 3d,3835,19.76,25.03,-55.3,0.85,0.36,15.5,invvol
invvol clean4 lb=252 @ 5d,3835,19.73,25.04,-55.27,0.84,0.36,15.5,invvol
invvol clean4 lb=252 @ 10d,3835,19.59,25.13,-55.38,0.84,0.35,15.2,invvol
invvol-s mix5 lb=126 tv=80% @ 21d,3835,19.39,103.64,-95.86,0.71,0.2,14.8,invvol-scaled
invvol-s mix5 lb=126 tv=25% @ 5d,3835,19.38,32.64,-51.53,0.71,0.38,14.8,invvol-scaled
invvol-s big8 lb=21 tv=60% @ 3d,3835,19.36,123.37,-96.89,0.78,0.2,14.8,invvol-scaled
invvol-s mix5 lb=126 tv=80% @ 3d,3835,19.02,101.0,-94.18,0.7,0.2,14.1,invvol-scaled
invvol-s mix5 lb=126 tv=25% @ 3d,3835,18.92,32.51,-50.97,0.7,0.37,14.0,invvol-scaled
invvol clean4 lb=252 @ 21d,3835,18.89,25.21,-55.41,0.81,0.34,13.9,invvol
invvol-s mix5 lb=126 tv=25% @ 10d,3835,18.88,33.15,-53.66,0.69,0.35,13.9,invvol-scaled
invvol-s mix5 lb=63 tv=25% @ 21d,3835,18.87,34.69,-55.23,0.67,0.34,13.9,invvol-scaled
invvol-s all17 lb=21 tv=40% @ 21d,3835,18.77,105.9,-93.32,0.71,0.2,13.7,invvol-scaled
invvol-s big8 lb=63 tv=60% @ 3d,3835,18.69,121.83,-96.39,0.77,0.19,13.6,invvol-scaled
invvol-s mix5 lb=63 tv=25% @ 5d,3835,18.68,33.33,-51.54,0.68,0.36,13.5,invvol-scaled
invvol-s mix5 lb=63 tv=25% @ 10d,3835,18.5,34.12,-52.6,0.67,0.35,13.2,invvol-scaled
invvol-s mix5 lb=63 tv=25% @ 3d,3835,18.32,33.17,-52.73,0.67,0.35,12.9,invvol-scaled
invvol-s mix5 lb=63 tv=80% @ 5d,3835,17.97,101.78,-93.01,0.69,0.19,12.4,invvol-scaled
invvol mix5 lb=21 @ 5d,3835,17.77,25.04,-45.21,0.78,0.39,12.1,invvol
invvol-s mix5 lb=252 tv=25% @ 5d,3835,17.48,31.52,-53.48,0.67,0.33,11.6,invvol-scaled
invvol mix5 lb=21 @ 3d,3835,17.47,25.06,-45.68,0.77,0.38,11.6,invvol
invvol-s mix5 lb=252 tv=25% @ 3d,3835,17.45,31.43,-53.11,0.67,0.33,11.6,invvol-scaled
invvol-s big8 lb=63 tv=60% @ 5d,3835,17.38,122.75,-96.66,0.77,0.18,11.5,invvol-scaled
invvol-s big8 lb=252 tv=60% @ 10d,3835,17.29,119.68,-99.49,0.77,0.17,11.3,invvol-scaled
invvol-s mix5 lb=252 tv=25% @ 10d,3835,17.23,31.96,-55.55,0.66,0.31,11.2,invvol-scaled
invvol mix5 lb=21 @ 21d,3835,17.2,25.55,-46.0,0.75,0.37,11.2,invvol
invvol mix5 lb=21 @ 10d,3835,17.12,25.33,-46.12,0.75,0.37,11.1,invvol
invvol-s mix5 lb=252 tv=25% @ 21d,3835,16.93,32.24,-55.79,0.65,0.3,10.8,invvol-scaled
invvol all17 lb=21 @ 5d,3835,16.88,26.99,-49.61,0.71,0.34,10.7,invvol
invvol-s mix5 lb=63 tv=80% @ 3d,3835,16.83,101.38,-93.46,0.68,0.18,10.7,invvol-scaled
invvol mix5 lb=126 @ 5d,3835,16.79,25.3,-45.82,0.74,0.37,10.6,invvol
invvol-s mix5 lb=126 tv=80% @ 10d,3835,16.77,102.83,-96.04,0.69,0.17,10.6,invvol-scaled
invvol all17 lb=21 @ 3d,3835,16.73,27.03,-49.23,0.71,0.34,10.5,invvol
invvol-s all17 lb=21 tv=40% @ 5d,3835,16.69,102.41,-93.94,0.68,0.18,10.5,invvol-scaled
invvol mix5 lb=63 @ 5d,3835,16.6,25.26,-46.28,0.73,0.36,10.3,invvol
invvol mix5 lb=126 @ 21d,3835,16.58,25.47,-46.44,0.73,0.36,10.3,invvol
invvol-s mix5 lb=252 tv=80% @ 3d,3835,16.57,98.31,-96.37,0.67,0.17,10.3,invvol-scaled
invvol mix5 lb=126 @ 3d,3835,16.55,25.29,-45.75,0.73,0.36,10.3,invvol
invvol all17 lb=21 @ 21d,3835,16.54,27.38,-49.37,0.7,0.33,10.3,invvol
invvol all17 lb=126 @ 21d,3835,16.38,27.75,-51.61,0.69,0.32,10.1,invvol
invvol-s mix5 lb=252 tv=80% @ 5d,3835,16.38,98.59,-96.54,0.67,0.17,10.1,invvol-scaled
invvol all17 lb=126 @ 5d,3835,16.36,27.51,-51.32,0.69,0.32,10.0,invvol
invvol mix5 lb=63 @ 10d,3835,16.33,25.41,-46.7,0.72,0.35,10.0,invvol
invvol mix5 lb=63 @ 21d,3835,16.32,25.55,-45.52,0.72,0.36,10.0,invvol
invvol mix5 lb=126 @ 10d,3835,16.32,25.4,-46.29,0.72,0.35,10.0,invvol
invvol mix5 lb=63 @ 3d,3835,16.3,25.27,-46.22,0.72,0.35,10.0,invvol
invvol all17 lb=21 @ 10d,3835,16.26,27.24,-50.66,0.69,0.32,9.9,invvol
invvol all17 lb=63 @ 5d,3835,16.24,27.31,-51.76,0.69,0.31,9.9,invvol
invvol all17 lb=126 @ 3d,3835,16.19,27.5,-51.38,0.68,0.32,9.8,invvol
invvol all17 lb=63 @ 3d,3835,16.16,27.31,-51.78,0.69,0.31,9.8,invvol
invvol all17 lb=252 @ 3d,3835,15.97,26.56,-51.52,0.69,0.31,9.5,invvol
invvol all17 lb=252 @ 5d,3835,15.96,26.57,-51.52,0.69,0.31,9.5,invvol
invvol all17 lb=63 @ 10d,3835,15.96,27.5,-52.17,0.68,0.31,9.5,invvol
invvol-s big8 lb=126 tv=60% @ 3d,3835,15.9,122.19,-98.36,0.76,0.16,9.4,invvol-scaled
invvol all17 lb=126 @ 10d,3835,15.83,27.65,-51.49,0.67,0.31,9.4,invvol
invvol all17 lb=252 @ 10d,3835,15.83,26.68,-51.61,0.69,0.31,9.4,invvol
invvol all17 lb=63 @ 21d,3835,15.82,27.67,-51.54,0.67,0.31,9.3,invvol
invvol-s big8 lb=126 tv=60% @ 5d,3835,15.55,122.93,-98.74,0.77,0.16,9.0,invvol-scaled
invvol-s big8 lb=21 tv=60% @ 10d,3835,15.29,126.75,-96.68,0.77,0.16,8.7,invvol-scaled
invvol-s all17 lb=21 tv=40% @ 3d,3835,15.28,101.74,-94.64,0.66,0.16,8.7,invvol-scaled
invvol-s mix5 lb=63 tv=80% @ 21d,3835,15.24,105.0,-95.15,0.68,0.16,8.7,invvol-scaled
invvol-s all17 lb=252 tv=40% @ 3d,3835,15.21,98.1,-98.11,0.66,0.15,8.6,invvol-scaled
invvol all17 lb=252 @ 21d,3835,15.15,26.75,-51.54,0.66,0.29,8.6,invvol
invvol-s mix5 lb=63 tv=80% @ 10d,3835,15.13,103.88,-94.18,0.68,0.16,8.5,invvol-scaled
invvol mix5 lb=252 @ 5d,3835,14.99,24.78,-46.48,0.69,0.32,8.4,invvol
invvol mix5 lb=252 @ 3d,3835,14.94,24.77,-46.48,0.69,0.32,8.3,invvol
invvol-s all17 lb=252 tv=40% @ 5d,3835,14.92,98.4,-98.19,0.66,0.15,8.3,invvol-scaled
invvol mix5 lb=252 @ 10d,3835,14.85,24.87,-46.59,0.68,0.32,8.2,invvol
invvol mix5 lb=252 @ 21d,3835,14.36,24.93,-46.46,0.66,0.31,7.7,invvol
invvol-s mix5 lb=252 tv=80% @ 10d,3835,14.3,99.88,-97.26,0.66,0.15,7.6,invvol-scaled
invvol-s big8 lb=126 tv=60% @ 21d,3835,13.9,126.53,-98.93,0.77,0.14,7.2,invvol-scaled
invvol-s all17 lb=126 tv=40% @ 5d,3835,13.66,102.21,-97.02,0.66,0.14,7.0,invvol-scaled
invvol-s big8 lb=252 tv=60% @ 21d,3835,13.4,121.26,-99.51,0.75,0.13,6.8,invvol-scaled
invvol-s all17 lb=126 tv=40% @ 3d,3835,12.99,101.83,-96.84,0.65,0.13,6.4,invvol-scaled
invvol-s big8 lb=63 tv=60% @ 10d,3835,12.96,125.3,-97.9,0.75,0.13,6.4,invvol-scaled
invvol-s all17 lb=63 tv=40% @ 3d,3835,12.77,101.49,-95.05,0.64,0.13,6.2,invvol-scaled
invvol-s all17 lb=63 tv=40% @ 5d,3835,12.71,102.05,-95.13,0.65,0.13,6.2,invvol-scaled
invvol-s all17 lb=126 tv=40% @ 21d,3835,12.68,105.11,-97.41,0.67,0.13,6.2,invvol-scaled
invvol-s mix5 lb=252 tv=80% @ 21d,3835,12.39,100.83,-97.19,0.65,0.13,5.9,invvol-scaled
invvol-s all17 lb=252 tv=40% @ 10d,3835,12.26,99.93,-98.71,0.65,0.12,5.8,invvol-scaled
invvol-s all17 lb=21 tv=40% @ 10d,3835,11.77,104.74,-94.6,0.65,0.12,5.4,invvol-scaled
invvol-s big8 lb=63 tv=60% @ 21d,3835,11.2,127.89,-98.71,0.76,0.11,5.0,invvol-scaled
invvol-s big8 lb=126 tv=60% @ 10d,3835,10.52,124.8,-99.12,0.74,0.11,4.6,invvol-scaled
invvol-s big8 lb=21 tv=80% @ 21d,3835,10.45,151.08,-99.07,0.86,0.11,4.5,invvol-scaled
invvol-s all17 lb=252 tv=40% @ 21d,3835,9.8,101.15,-98.67,0.63,0.1,4.1,invvol-scaled
invvol-s all17 lb=21 tv=60% @ 5d,3835,9.72,122.7,-98.64,0.71,0.1,4.1,invvol-scaled
invvol-s all17 lb=126 tv=40% @ 10d,3835,9.2,103.92,-97.89,0.63,0.09,3.8,invvol-scaled
invvol-s all17 lb=63 tv=40% @ 10d,3835,8.47,104.32,-96.96,0.62,0.09,3.4,invvol-scaled
invvol-s all17 lb=63 tv=40% @ 21d,3835,8.13,106.18,-97.4,0.64,0.08,3.3,invvol-scaled
invvol-s all17 lb=21 tv=60% @ 3d,3835,7.81,122.38,-98.86,0.7,0.08,3.1,invvol-scaled
invvol-s big8 lb=21 tv=80% @ 5d,3835,7.25,147.1,-99.08,0.81,0.07,2.9,invvol-scaled
invvol-s all17 lb=21 tv=60% @ 21d,3835,6.69,126.46,-98.59,0.71,0.07,2.7,invvol-scaled
invvol-s big8 lb=21 tv=80% @ 3d,3835,5.47,146.51,-99.3,0.8,0.06,2.2,invvol-scaled
invvol-s all17 lb=21 tv=60% @ 10d,3835,3.51,125.11,-98.75,0.68,0.04,1.7,invvol-scaled
invvol-s all17 lb=21 tv=80% @ 5d,3835,3.35,129.48,-99.28,0.7,0.03,1.7,invvol-scaled
invvol-s all17 lb=21 tv=80% @ 3d,3835,2.0,129.44,-99.41,0.69,0.02,1.4,invvol-scaled
invvol-s big8 lb=21 tv=80% @ 10d,3835,1.3,150.03,-99.08,0.79,0.01,1.2,invvol-scaled
invvol-s all17 lb=63 tv=60% @ 5d,3835,1.17,125.25,-99.41,0.67,0.01,1.2,invvol-scaled
invvol-s all17 lb=21 tv=80% @ 21d,3835,0.63,133.23,-99.45,0.71,0.01,1.1,invvol-scaled
invvol-s all17 lb=63 tv=60% @ 3d,3835,0.26,124.97,-99.44,0.66,0.0,1.0,invvol-scaled
invvol-s big8 lb=63 tv=80% @ 3d,3835,-1.78,149.91,-99.49,0.78,-0.02,0.8,invvol-scaled
invvol-s all17 lb=21 tv=80% @ 10d,3835,-2.51,131.7,-99.54,0.68,-0.03,0.7,invvol-scaled
invvol-s all17 lb=63 tv=60% @ 10d,3835,-3.45,127.24,-99.64,0.65,-0.03,0.6,invvol-scaled
invvol-s big8 lb=63 tv=80% @ 5d,3835,-3.54,150.75,-99.58,0.77,-0.04,0.6,invvol-scaled
invvol-s all17 lb=63 tv=60% @ 21d,3835,-3.87,128.83,-99.63,0.66,-0.04,0.5,invvol-scaled
invvol-s all17 lb=252 tv=60% @ 5d,3835,-4.01,125.59,-99.92,0.66,-0.04,0.5,invvol-scaled
invvol-s all17 lb=252 tv=60% @ 3d,3835,-5.14,125.58,-99.93,0.66,-0.05,0.4,invvol-scaled
invvol-s all17 lb=252 tv=80% @ 3d,3835,-5.81,131.95,-99.94,0.69,-0.06,0.4,invvol-scaled
invvol-s all17 lb=126 tv=60% @ 5d,3835,-5.84,128.04,-99.87,0.66,-0.06,0.4,invvol-scaled
invvol-s all17 lb=252 tv=80% @ 5d,3835,-6.11,132.04,-99.94,0.68,-0.06,0.4,invvol-scaled
invvol-s all17 lb=63 tv=80% @ 5d,3835,-6.39,132.71,-99.85,0.66,-0.06,0.4,invvol-scaled
invvol-s all17 lb=126 tv=60% @ 3d,3835,-6.41,127.79,-99.85,0.65,-0.06,0.4,invvol-scaled
invvol-s all17 lb=252 tv=60% @ 10d,3835,-7.02,126.89,-99.95,0.66,-0.07,0.3,invvol-scaled
invvol-s big8 lb=252 tv=80% @ 3d,3835,-7.35,148.38,-99.98,0.78,-0.07,0.3,invvol-scaled
invvol-s all17 lb=252 tv=80% @ 10d,3835,-7.4,132.61,-99.95,0.68,-0.07,0.3,invvol-scaled
invvol-s all17 lb=63 tv=80% @ 3d,3835,-7.78,132.62,-99.87,0.65,-0.08,0.3,invvol-scaled
invvol-s big8 lb=63 tv=80% @ 10d,3835,-8.89,153.38,-99.76,0.75,-0.09,0.2,invvol-scaled
invvol-s all17 lb=126 tv=60% @ 21d,3835,-8.95,131.56,-99.91,0.66,-0.09,0.2,invvol-scaled
invvol-s big8 lb=63 tv=80% @ 21d,3835,-9.21,155.29,-99.8,0.76,-0.09,0.2,invvol-scaled
invvol-s all17 lb=252 tv=60% @ 21d,3835,-9.47,127.92,-99.95,0.64,-0.09,0.2,invvol-scaled
invvol-s big8 lb=126 tv=80% @ 3d,3835,-9.61,152.43,-99.91,0.76,-0.1,0.2,invvol-scaled
invvol-s all17 lb=126 tv=80% @ 5d,3835,-10.05,135.36,-99.94,0.67,-0.1,0.2,invvol-scaled
invvol-s all17 lb=252 tv=80% @ 21d,3835,-10.43,132.94,-99.95,0.66,-0.1,0.2,invvol-scaled
invvol-s all17 lb=63 tv=80% @ 10d,3835,-10.9,134.59,-99.92,0.65,-0.11,0.2,invvol-scaled
invvol-s all17 lb=126 tv=80% @ 3d,3835,-11.36,135.2,-99.94,0.66,-0.11,0.2,invvol-scaled
invvol-s all17 lb=126 tv=60% @ 10d,3835,-11.39,129.97,-99.93,0.63,-0.11,0.2,invvol-scaled
invvol-s all17 lb=126 tv=80% @ 21d,3835,-11.57,137.25,-99.95,0.67,-0.12,0.2,invvol-scaled
invvol-s big8 lb=126 tv=80% @ 5d,3835,-11.72,153.21,-99.95,0.77,-0.12,0.2,invvol-scaled
invvol-s big8 lb=252 tv=80% @ 5d,3835,-12.5,148.97,-99.99,0.78,-0.13,0.1,invvol-scaled
invvol-s all17 lb=63 tv=80% @ 21d,3835,-12.65,136.25,-99.93,0.64,-0.13,0.1,invvol-scaled
invvol-s all17 lb=126 tv=80% @ 10d,3835,-13.61,136.28,-99.96,0.65,-0.14,0.1,invvol-scaled
invvol-s big8 lb=126 tv=80% @ 21d,3835,-15.23,157.22,-99.97,0.76,-0.15,0.1,invvol-scaled
invvol-s big8 lb=252 tv=80% @ 10d,3835,-15.44,150.89,-100.0,0.77,-0.15,0.1,invvol-scaled
invvol-s big8 lb=126 tv=80% @ 10d,3835,-17.57,155.21,-99.97,0.74,-0.18,0.1,invvol-scaled
invvol-s big8 lb=252 tv=80% @ 21d,3835,-18.96,152.58,-100.0,0.75,-0.19,0.0,invvol-scaled
