lb_l,lb_s,tn,ov,dd_f,rb,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap
120,20,2,1.5,0.2,5,0.946,20.35,-32.3,-0.176,-3.58,-51.3,0.353,7.38,20.9,-59.2,1.8,1.1219999999999999
120,20,2,1.5,0.2,10,1.187,28.04,-33.6,-0.054,-1.16,-49.4,0.542,12.21,22.5,-62.3,3.0,1.241
120,20,2,1.5,0.25,5,0.806,19.68,-40.4,-0.005,-0.11,-39.3,0.364,8.95,24.6,-52.7,2.0,0.811
120,20,2,1.5,0.25,10,1.013,27.28,-40.7,0.192,5.55,-51.5,0.554,15.51,28.0,-53.4,3.8,0.821
120,20,2,1.5,0.3,5,0.687,18.55,-47.7,0.159,4.78,-47.6,0.386,11.09,28.7,-50.1,2.2,0.528
120,20,2,1.5,0.3,10,0.849,25.39,-47.8,0.38,13.13,-55.2,0.576,18.74,32.5,-55.2,4.7,0.469
120,20,2,1.5,0.35,5,0.597,17.5,-54.1,0.214,7.47,-51.9,0.371,12.07,32.5,-57.0,2.2,0.383
120,20,2,1.5,0.35,10,0.77,25.13,-54.0,0.465,17.83,-57.7,0.59,21.17,35.9,-59.4,5.4,0.305
120,20,2,2.0,0.2,5,1.027,25.48,-29.8,-0.275,-6.04,-58.9,0.36,8.4,23.3,-64.5,1.9,1.302
120,20,2,2.0,0.2,10,1.348,36.68,-34.5,0.463,13.6,-33.1,0.851,24.17,28.4,-40.4,10.2,0.885
120,20,2,2.0,0.25,5,0.959,26.68,-39.3,-0.236,-6.09,-63.2,0.333,8.92,26.8,-71.2,1.8,1.1949999999999998
120,20,2,2.0,0.25,10,1.207,36.73,-41.6,-0.234,-6.26,-66.0,0.471,13.43,28.5,-77.6,2.9,1.441
120,20,2,2.0,0.3,5,0.856,26.43,-47.1,-0.252,-7.09,-64.7,0.281,8.27,29.4,-73.8,1.6,1.108
120,20,2,2.0,0.3,10,1.08,36.55,-48.0,0.102,3.35,-63.3,0.557,18.56,33.3,-70.4,4.4,0.9780000000000001
120,20,2,2.0,0.35,5,0.749,25.26,-54.3,0.063,2.22,-55.3,0.37,12.77,34.6,-65.1,2.1,0.6859999999999999
120,20,2,2.0,0.35,10,0.961,35.74,-54.6,0.261,10.67,-65.2,0.565,22.15,39.2,-65.2,5.2,0.7
120,20,2,2.5,0.2,5,0.935,30.44,-34.0,-0.149,-3.32,-61.7,0.442,12.14,27.5,-61.7,2.6,1.084
120,20,2,2.5,0.2,10,1.303,40.63,-36.2,0.486,16.49,-35.1,0.842,27.55,32.7,-36.2,12.8,0.817
120,20,2,2.5,0.25,5,1.018,31.59,-36.8,-0.305,-8.3,-68.7,0.343,9.97,29.0,-74.5,1.9,1.323
120,20,2,2.5,0.25,10,1.334,45.44,-42.0,0.434,15.75,-43.9,0.832,29.35,35.3,-50.0,14.3,0.9000000000000001
120,20,2,2.5,0.3,5,0.961,32.87,-46.0,-0.27,-8.4,-72.3,0.323,10.51,32.6,-79.8,1.8,1.2309999999999999
120,20,2,2.5,0.3,10,1.211,45.17,-49.1,-0.247,-8.09,-74.4,0.467,16.3,34.9,-85.0,3.2,1.4580000000000002
120,20,2,2.5,0.35,5,0.88,32.9,-53.6,-0.278,-9.3,-74.5,0.284,10.03,35.3,-82.1,1.5,1.158
120,20,2,2.5,0.35,10,1.111,45.42,-54.9,0.093,3.59,-69.7,0.572,22.75,39.8,-79.7,5.3,1.018
120,20,2,3.0,0.2,5,0.963,36.63,-40.1,0.049,1.39,-62.8,0.531,17.53,33.0,-62.8,3.9,0.9139999999999999
120,20,2,3.0,0.2,10,1.119,43.39,-40.1,-0.272,-6.58,-64.8,0.513,16.31,31.8,-67.8,3.5,1.391
120,20,2,3.0,0.25,5,0.871,33.77,-50.0,-0.14,-3.86,-71.1,0.403,13.37,33.2,-72.9,2.4,1.0110000000000001
120,20,2,3.0,0.25,10,1.319,50.19,-43.3,0.494,20.64,-41.9,0.852,34.17,40.1,-44.8,20.0,0.825
120,20,2,3.0,0.3,5,1.009,37.68,-43.7,-0.32,-10.42,-76.4,0.333,11.62,34.8,-82.2,1.8,1.329
120,20,2,3.0,0.3,10,1.319,53.96,-49.1,0.406,17.54,-54.2,0.812,34.22,42.1,-58.9,18.2,0.9129999999999999
120,20,2,3.0,0.35,5,0.958,38.94,-52.5,-0.279,-10.15,-79.3,0.321,12.34,38.4,-85.8,1.7,1.237
120,20,2,3.0,0.35,10,1.207,53.42,-56.2,-0.248,-9.6,-81.0,0.466,19.27,41.4,-90.0,3.3,1.455
120,20,3,1.5,0.2,5,0.406,8.38,-33.7,0.028,0.57,-43.2,0.204,4.15,20.4,-49.0,1.3,0.378
120,20,3,1.5,0.2,10,0.688,14.47,-32.0,0.282,6.89,-32.7,0.451,10.36,23.0,-34.6,2.4,0.40599999999999997
120,20,3,1.5,0.25,5,0.487,11.68,-39.2,0.356,9.97,-38.3,0.41,10.75,26.2,-40.0,2.3,0.131
120,20,3,1.5,0.25,10,0.586,14.26,-39.3,0.495,14.62,-39.7,0.53,14.45,27.3,-43.2,3.4,0.09099999999999997
120,20,3,1.5,0.3,5,0.515,13.6,-44.1,0.437,13.69,-43.2,0.468,13.65,29.2,-45.7,2.9,0.07800000000000001
120,20,3,1.5,0.3,10,0.587,15.86,-45.7,0.511,16.8,-46.2,0.54,16.37,30.3,-51.4,3.9,0.07599999999999996
120,20,3,1.5,0.35,5,0.524,14.83,-48.0,0.459,15.64,-46.1,0.484,15.27,31.6,-51.4,3.2,0.065
120,20,3,1.5,0.35,10,0.578,16.87,-50.8,0.503,17.79,-51.1,0.532,17.37,32.7,-57.3,4.0,0.07499999999999996
120,20,3,2.0,0.2,5,0.501,11.42,-33.3,-0.081,-1.86,-54.4,0.184,4.22,22.9,-58.8,1.2,0.582
120,20,3,2.0,0.2,10,0.875,19.85,-33.7,-0.069,-1.63,-54.4,0.353,8.21,23.2,-62.7,1.9,0.944
120,20,3,2.0,0.25,5,0.429,11.5,-41.3,-0.025,-0.62,-56.6,0.19,4.93,26.0,-63.0,1.2,0.454
120,20,3,2.0,0.25,10,0.737,19.84,-39.6,0.082,2.29,-48.1,0.375,10.33,27.5,-61.1,2.1,0.655
120,20,3,2.0,0.3,5,0.448,13.47,-47.3,0.19,6.44,-48.6,0.3,9.66,32.2,-55.3,1.6,0.258
120,20,3,2.0,0.3,10,0.576,17.45,-46.4,0.411,14.97,-50.0,0.477,16.11,33.8,-51.0,3.3,0.16499999999999998
120,20,3,2.0,0.35,5,0.486,16.02,-52.2,0.354,13.54,-53.9,0.408,14.68,35.9,-53.9,2.5,0.132
120,20,3,2.0,0.35,10,0.578,19.36,-52.6,0.473,19.11,-56.1,0.514,19.23,37.4,-58.5,4.0,0.10499999999999998
120,20,3,2.5,0.2,5,0.563,13.65,-32.4,-0.079,-2.04,-59.7,0.205,5.15,25.1,-59.7,1.2,0.6419999999999999
120,20,3,2.5,0.2,10,0.902,21.62,-35.4,0.253,6.61,-36.9,0.536,13.48,25.2,-41.0,3.3,0.649
120,20,3,2.5,0.25,5,0.489,14.0,-40.8,-0.113,-3.2,-65.6,0.164,4.68,28.5,-70.4,1.0,0.602
120,20,3,2.5,0.25,10,0.858,24.49,-41.3,-0.076,-2.25,-63.7,0.344,10.0,29.1,-72.9,1.9,0.9339999999999999
120,20,3,2.5,0.3,5,0.432,14.22,-48.4,-0.06,-1.85,-67.5,0.173,5.51,31.8,-74.0,1.0,0.492
120,20,3,2.5,0.3,10,0.755,24.79,-46.8,-0.077,-2.47,-67.4,0.308,10.02,32.5,-77.7,1.7,0.832
120,20,3,2.5,0.35,5,0.417,15.0,-54.7,-0.01,-0.34,-67.6,0.189,6.68,35.4,-76.5,1.0,0.427
120,20,3,2.5,0.35,10,0.63,22.86,-53.2,0.315,13.55,-59.4,0.444,17.82,40.1,-59.7,3.0,0.315
120,20,3,3.0,0.2,5,0.559,15.1,-29.4,-0.086,-2.17,-60.1,0.221,5.74,26.0,-60.1,1.3,0.645
120,20,3,3.0,0.2,10,1.073,30.32,-33.9,-0.285,-6.06,-57.5,0.429,10.61,24.7,-57.5,2.4,1.3579999999999999
120,20,3,3.0,0.25,5,0.514,15.18,-43.5,-0.091,-2.91,-70.0,0.174,5.38,31.0,-72.6,1.0,0.605
120,20,3,3.0,0.25,10,0.905,27.1,-41.6,0.223,7.01,-46.8,0.528,16.21,30.7,-53.4,3.7,0.682
120,20,3,3.0,0.3,5,0.477,16.42,-47.9,-0.134,-4.55,-74.7,0.148,5.06,34.1,-79.5,0.9,0.611
120,20,3,3.0,0.3,10,0.84,28.95,-48.5,-0.078,-2.76,-71.3,0.336,11.76,35.0,-80.7,1.9,0.9179999999999999
120,20,3,3.0,0.35,5,0.424,16.53,-55.1,-0.086,-3.11,-76.1,0.156,5.89,37.6,-82.3,0.8,0.51
120,20,3,3.0,0.35,10,0.76,29.49,-53.7,-0.085,-3.22,-75.3,0.306,11.76,38.4,-84.6,1.6,0.845
120,20,4,1.5,0.2,5,0.296,5.29,-33.8,-0.02,-0.44,-43.8,0.11,2.19,19.9,-54.5,1.0,0.316
120,20,4,1.5,0.2,10,0.487,9.27,-31.1,0.623,15.71,-30.7,0.565,12.76,22.6,-33.6,3.2,0.136
120,20,4,1.5,0.25,5,0.381,7.91,-39.5,0.27,7.18,-42.7,0.312,7.51,24.1,-46.4,1.7,0.11099999999999999
120,20,4,1.5,0.25,10,0.536,11.76,-37.9,0.595,16.93,-37.9,0.568,14.56,25.7,-42.2,3.6,0.05899999999999994
120,20,4,1.5,0.3,5,0.419,9.56,-43.5,0.351,10.45,-45.9,0.375,10.04,26.8,-51.3,2.1,0.068
120,20,4,1.5,0.3,10,0.544,13.14,-43.2,0.547,16.89,-42.8,0.542,15.17,28.0,-50.1,3.6,0.0030000000000000027
120,20,4,1.5,0.35,5,0.439,10.72,-46.5,0.407,13.05,-48.5,0.416,11.98,28.8,-53.7,2.4,0.03200000000000003
120,20,4,1.5,0.35,10,0.552,14.25,-46.7,0.51,16.8,-44.3,0.523,15.64,29.9,-53.4,3.6,0.04200000000000004
120,20,4,2.0,0.2,5,0.275,5.35,-34.3,-0.084,-1.99,-46.4,0.063,1.37,21.8,-56.7,0.9,0.35900000000000004
120,20,4,2.0,0.2,10,0.289,5.92,-30.5,0.593,15.27,-27.2,0.468,10.98,23.5,-33.5,2.6,0.304
120,20,4,2.0,0.25,5,0.258,5.83,-41.4,-0.131,-3.61,-57.0,0.028,0.71,25.4,-67.3,0.7,0.389
120,20,4,2.0,0.25,10,0.45,10.97,-38.2,0.571,18.4,-37.7,0.519,15.0,28.9,-41.1,3.4,0.12099999999999994
120,20,4,2.0,0.3,5,0.341,8.88,-47.2,0.142,4.63,-52.6,0.221,6.58,29.8,-64.3,1.2,0.19900000000000004
120,20,4,2.0,0.3,10,0.512,14.1,-45.0,0.589,21.07,-44.9,0.554,17.88,32.3,-48.5,4.2,0.07699999999999996
120,20,4,2.0,0.35,5,0.389,11.1,-51.4,0.258,9.4,-57.2,0.308,10.18,33.1,-63.2,1.7,0.131
120,20,4,2.0,0.35,10,0.53,15.97,-50.4,0.549,21.21,-51.1,0.538,18.81,35.0,-56.9,4.2,0.019000000000000017
120,20,4,2.5,0.2,5,0.178,3.68,-41.3,-0.1,-2.65,-49.6,0.01,0.25,24.0,-61.7,0.7,0.278
120,20,4,2.5,0.2,10,0.356,7.59,-39.1,0.069,1.67,-44.9,0.191,4.38,22.9,-56.8,1.2,0.287
120,20,4,2.5,0.25,5,0.261,6.33,-41.8,-0.101,-2.97,-57.1,0.048,1.29,27.1,-67.8,0.7,0.362
120,20,4,2.5,0.25,10,0.243,6.23,-37.7,0.566,18.16,-35.3,0.433,12.69,29.3,-41.1,2.6,0.32299999999999995
120,20,4,2.5,0.3,5,0.25,6.86,-48.5,-0.187,-6.21,-66.1,-0.007,-0.22,30.6,-76.1,0.5,0.437
120,20,4,2.5,0.3,10,0.422,12.55,-45.0,0.525,20.56,-44.5,0.48,16.89,35.2,-48.2,3.3,0.10300000000000004
120,20,4,2.5,0.35,5,0.312,9.76,-54.1,-0.032,-1.17,-67.1,0.111,3.84,34.5,-79.6,0.7,0.344
120,20,4,2.5,0.35,10,0.489,16.2,-51.6,0.572,24.56,-51.7,0.535,20.73,38.8,-54.9,4.4,0.08299999999999996
120,20,4,3.0,0.2,5,0.098,2.12,-42.1,-0.111,-2.97,-56.1,-0.026,-0.64,24.6,-62.7,0.6,0.20900000000000002
120,20,4,3.0,0.2,10,0.475,11.12,-41.1,0.092,2.29,-46.8,0.262,6.33,24.2,-52.7,1.5,0.383
120,20,4,3.0,0.25,5,0.194,4.89,-47.6,-0.104,-3.38,-59.8,0.014,0.4,29.5,-71.5,0.6,0.298
120,20,4,3.0,0.25,10,0.318,8.53,-44.4,0.352,11.46,-37.4,0.337,10.12,30.0,-47.6,1.9,0.033999999999999975
120,20,4,3.0,0.3,5,0.251,7.31,-49.0,-0.114,-3.98,-66.6,0.037,1.19,32.4,-76.7,0.6,0.365
120,20,4,3.0,0.3,10,0.227,7.0,-44.7,0.543,20.86,-44.8,0.413,14.51,35.2,-48.3,2.6,0.31600000000000006
120,20,4,3.0,0.35,5,0.252,8.19,-55.2,-0.185,-6.85,-73.6,0.001,0.04,35.0,-83.0,0.5,0.437
120,20,4,3.0,0.35,10,0.402,14.11,-51.6,0.485,22.38,-52.0,0.449,18.6,41.5,-55.0,3.0,0.08299999999999996
120,40,2,1.5,0.2,5,1.017,22.11,-31.6,-0.05,-1.07,-40.5,0.442,9.55,21.6,-57.7,2.3,1.067
120,40,2,1.5,0.2,10,1.166,28.53,-32.7,-0.131,-2.87,-48.4,0.497,11.51,23.2,-61.1,2.8,1.297
120,40,2,1.5,0.25,5,0.89,22.09,-40.4,-0.123,-2.97,-48.6,0.347,8.51,24.5,-65.5,1.9,1.013
120,40,2,1.5,0.25,10,1.088,29.31,-40.7,0.06,1.66,-45.9,0.523,14.32,27.4,-57.3,3.4,1.028
120,40,2,1.5,0.3,5,0.794,22.01,-47.9,0.098,2.93,-50.0,0.404,11.67,28.9,-59.0,2.4,0.6960000000000001
120,40,2,1.5,0.3,10,1.004,29.23,-47.9,0.201,6.6,-50.6,0.545,16.96,31.2,-53.3,4.0,0.8029999999999999
120,40,2,1.5,0.35,5,0.734,22.32,-54.1,0.178,6.1,-50.0,0.415,13.53,32.6,-61.1,2.6,0.556
120,40,2,1.5,0.35,10,0.938,29.32,-53.6,0.243,8.84,-55.7,0.534,18.22,34.1,-59.1,4.1,0.695
120,40,2,2.0,0.2,5,1.128,27.64,-32.3,-0.034,-0.82,-44.0,0.506,12.22,24.1,-60.5,2.9,1.162
120,40,2,2.0,0.2,10,1.297,35.4,-32.3,-0.249,-6.28,-53.5,0.488,12.81,26.2,-66.6,2.9,1.5459999999999998
120,40,2,2.0,0.25,5,1.04,29.13,-38.3,-0.039,-1.09,-50.2,0.458,12.75,27.9,-67.7,2.8,1.079
120,40,2,2.0,0.25,10,1.195,37.28,-40.0,-0.134,-3.87,-58.9,0.5,14.98,29.9,-71.6,3.3,1.3290000000000002
120,40,2,2.0,0.3,5,0.938,29.31,-46.9,-0.043,-1.31,-53.1,0.414,12.72,30.7,-71.3,2.5,0.981
120,40,2,2.0,0.3,10,1.099,37.94,-47.6,-0.081,-2.6,-60.7,0.481,15.97,33.2,-74.4,3.3,1.18
120,40,2,2.0,0.35,5,0.851,29.23,-54.3,0.001,0.03,-57.6,0.387,13.41,34.7,-74.7,2.3,0.85
120,40,2,2.0,0.35,10,1.038,38.22,-54.5,0.117,4.59,-59.9,0.524,19.99,38.1,-69.9,4.2,0.921
120,40,2,2.5,0.2,5,1.102,36.45,-33.4,0.112,2.85,-47.4,0.624,18.24,29.2,-47.4,4.9,0.9900000000000001
120,40,2,2.5,0.2,10,1.204,36.85,-34.3,-0.482,-11.75,-64.2,0.383,10.51,27.4,-74.4,2.1,1.686
120,40,2,2.5,0.25,5,1.119,34.47,-38.8,-0.031,-0.93,-51.8,0.503,15.29,30.4,-69.4,3.4,1.15
120,40,2,2.5,0.25,10,1.288,43.99,-39.6,-0.239,-7.58,-62.7,0.488,16.04,32.9,-75.7,3.3,1.5270000000000001
120,40,2,2.5,0.3,5,1.05,36.1,-44.8,-0.035,-1.18,-58.6,0.465,15.9,34.2,-75.5,3.1,1.085
120,40,2,2.5,0.3,10,1.207,45.84,-47.1,-0.149,-5.25,-67.5,0.496,18.15,36.6,-79.6,3.7,1.356
120,40,2,2.5,0.35,5,0.965,36.46,-53.2,-0.034,-1.23,-61.6,0.432,16.03,37.1,-78.7,2.8,0.999
120,40,2,2.5,0.35,10,1.103,46.16,-54.2,-0.088,-3.35,-68.8,0.486,19.33,39.8,-81.8,3.6,1.191
120,40,2,3.0,0.2,5,1.112,42.73,-40.1,-0.048,-1.12,-57.2,0.61,18.97,31.1,-57.2,5.0,1.1600000000000001
120,40,2,3.0,0.2,10,1.161,45.34,-40.1,-0.284,-6.59,-66.1,0.546,17.2,31.5,-66.6,4.0,1.445
120,40,2,3.0,0.25,5,1.069,42.64,-41.3,0.164,5.35,-52.7,0.621,22.43,36.1,-53.4,6.1,0.9049999999999999
120,40,2,3.0,0.25,10,1.228,46.36,-41.3,-0.411,-13.05,-69.9,0.408,14.16,34.7,-81.6,2.5,1.639
120,40,2,3.0,0.3,5,1.113,41.45,-44.8,-0.034,-1.22,-59.2,0.5,18.32,36.7,-76.7,3.8,1.147
120,40,2,3.0,0.3,10,1.278,52.41,-46.6,-0.233,-8.89,-70.5,0.485,19.19,39.5,-82.8,3.6,1.5110000000000001
