pair,horizon,n_trades,active_days,sharpe
VGLT-MBB,21,90,567,-0.10516666437056377
VGLT-VMBS,21,88,559,-0.11191536801294107
LQD-VCSH,21,124,658,-0.24174682422788296
VCIT-VCSH,21,98,599,-0.2148734240312303
IGIB-VCSH,21,198,798,-1.2021158709958117
LQD-HYG,21,96,504,0.09065651652769842
LQD-JNK,21,92,481,-0.07541036699443085
LQD-USHY,21,58,296,0.3061279429866862
VCIT-HYG,21,60,314,0.3143783384495396
VCIT-JNK,21,64,309,0.23100811517038541
VCIT-USHY,21,66,320,-0.040173679122645536
IGIB-HYG,21,92,403,0.1460967770283044
IGIB-JNK,21,80,429,-0.13406943364440552
IGIB-USHY,21,68,326,-0.06257248184821954
LQD-AGG,21,160,846,-0.20185791087663998
LQD-BND,21,140,757,0.01497790527406959
VCIT-AGG,21,94,491,-0.27298516549363055
VCIT-BND,21,108,478,0.08384902192984783
IGIB-AGG,21,181,750,-0.2703321084329245
IGIB-BND,21,175,697,-0.2482024361113891
LQD-TIP,21,168,733,-0.013367954644430222
LQD-SCHP,21,122,596,0.04490022349728466
VCIT-TIP,21,92,458,-0.0879679434403771
VCIT-SCHP,21,96,482,-0.11498330640766198
IGIB-TIP,21,126,619,0.04704595687428265
IGIB-SCHP,21,82,428,-0.2153844041116108
LQD-MUB,21,136,716,-0.008729462523706072
LQD-VTEB,21,78,456,-0.2258929913605513
VCIT-MUB,21,122,470,0.007073373435832806
VCIT-VTEB,21,88,327,0.06168537344549835
IGIB-MUB,21,122,607,-0.04640400140780893
IGIB-VTEB,21,82,285,0.256177811515101
LQD-EMB,21,150,517,0.05189984943834008
LQD-VWOB,21,98,435,0.011557687611282513
VCIT-EMB,21,112,434,-0.09588162121559927
VCIT-VWOB,21,95,382,0.07064294837473428
IGIB-EMB,21,114,489,-0.21247604066522047
IGIB-VWOB,21,80,383,0.013204391197065755
LQD-FLOT,21,96,625,-0.11867411213049361
VCIT-FLOT,21,78,609,-0.24681491661433724
IGIB-FLOT,21,136,772,-0.6240527566162953
LQD-MBB,21,128,673,-0.2613882342295563
LQD-VMBS,21,84,510,-0.09827196584252301
VCIT-MBB,21,68,400,-0.32090658271996797
VCIT-VMBS,21,66,361,-0.24329813864340047
IGIB-MBB,21,194,738,-0.5875753080579164
IGIB-VMBS,21,138,553,-0.19656673594538662
VCSH-HYG,21,88,375,0.3124610494561368
VCSH-JNK,21,80,396,0.19579715836179876
VCSH-USHY,21,66,297,-0.00026749956237956835
VCSH-AGG,21,110,628,-0.5463294384382091
VCSH-BND,21,118,661,-0.6051960444873273
VCSH-TIP,21,82,362,-0.1172293598345136
VCSH-SCHP,21,74,317,0.2108115844707398
VCSH-MUB,21,78,474,-0.2169031174299719
VCSH-VTEB,21,62,380,0.02701212001940505
VCSH-EMB,21,108,551,-0.14016469791837857
VCSH-VWOB,21,91,492,-0.3158423146496772
VCSH-FLOT,21,111,715,-0.40758803110118075
VCSH-MBB,21,152,589,-0.49869882568443563
VCSH-VMBS,21,156,606,-0.418160000306973
HYG-AGG,21,90,446,0.1451977732405467
HYG-BND,21,90,427,0.25610134018760305
JNK-AGG,21,78,436,-0.12609102497670965
JNK-BND,21,82,452,-0.14156401941212504
USHY-AGG,21,86,339,-0.2715083368803014
USHY-BND,21,84,342,-0.26338676969273017
HYG-TIP,21,86,393,0.07269878407452476
HYG-SCHP,21,78,365,0.32918196086107815
JNK-TIP,21,78,379,0.03275154383902679
JNK-SCHP,21,78,359,0.38389680608340326
USHY-TIP,21,76,333,-0.1677717770112754
USHY-SCHP,21,72,317,-0.1642677369089692
HYG-MUB,21,88,398,-0.005352545469302023
HYG-VTEB,21,40,207,-0.08876943890049736
JNK-MUB,21,62,401,-0.17041648054389044
JNK-VTEB,21,38,190,-0.13635029366148205
USHY-MUB,21,68,307,-0.06541174313044326
USHY-VTEB,21,66,296,-0.18101934808753203
HYG-EMB,21,84,457,0.17365746640231264
HYG-VWOB,21,80,393,0.2906638073258712
JNK-EMB,21,72,438,0.23200876306102539
JNK-VWOB,21,78,393,0.2738419776272143
USHY-EMB,21,48,286,-0.011892638711551025
USHY-VWOB,21,60,281,0.1229025632217861
HYG-FLOT,21,74,391,0.07171947879458128
JNK-FLOT,21,70,391,0.06759835991431129
USHY-FLOT,21,66,333,0.07832592102210838
HYG-MBB,21,112,476,0.03278791218289306
HYG-VMBS,21,80,356,0.2115325232971159
JNK-MBB,21,88,481,-0.3802319307503742
JNK-VMBS,21,74,353,0.010039061292832628
USHY-MBB,21,88,346,-0.15346739711922883
USHY-VMBS,21,80,304,-0.03881485811356225
AGG-TIP,21,118,636,0.3665369919095851
AGG-SCHP,21,72,351,0.14116200400833873
BND-TIP,21,112,554,0.21691094068301434
BND-SCHP,21,68,336,0.06626994693716695
AGG-MUB,21,136,426,0.06962292203132682
AGG-VTEB,21,112,319,0.3021263860816158
BND-MUB,21,126,403,-0.10191650645966333
BND-VTEB,21,92,339,-0.05222183655268884
AGG-EMB,21,126,537,-0.32917261717594787
AGG-VWOB,21,89,439,-0.34070545946560277
BND-EMB,21,132,552,-0.4420707401767497
BND-VWOB,21,87,430,-0.3544943306577054
AGG-FLOT,21,104,710,-0.30058745024188327
BND-FLOT,21,94,711,-0.37483858734783854
AGG-MBB,21,204,817,-0.2733566646883614
AGG-VMBS,21,118,575,-0.3330285931341888
BND-MBB,21,198,820,-0.4574137276997132
BND-VMBS,21,114,602,-0.17082760612579176
TIP-MUB,21,104,445,0.4130744894610028
TIP-VTEB,21,80,273,0.13086288513521638
SCHP-MUB,21,76,270,0.23077175021707455
SCHP-VTEB,21,74,267,-0.0904976968300577
TIP-EMB,21,127,549,0.017202232084457817
TIP-VWOB,21,97,437,-0.031173157950564204
SCHP-EMB,21,131,560,0.3749447857298077
SCHP-VWOB,21,105,453,-0.015617234743201844
TIP-FLOT,21,82,384,-0.14474853213863104
SCHP-FLOT,21,84,402,-0.12979739749167757
TIP-MBB,21,124,643,0.08006953884645227
TIP-VMBS,21,100,435,0.04375404223060777
SCHP-MBB,21,84,436,0.10118593356797173
SCHP-VMBS,21,90,406,0.0471712928678513
MUB-EMB,21,114,527,-0.07240305452732487
MUB-VWOB,21,96,523,-0.18439600136020104
VTEB-EMB,21,68,393,-0.15869391665971097
VTEB-VWOB,21,68,373,-0.14725979992108557
MUB-FLOT,21,84,540,-0.05979373810894566
VTEB-FLOT,21,62,481,-0.328998965873975
MUB-MBB,21,128,390,0.07286069264820627
MUB-VMBS,21,92,339,-0.20278970487089354
VTEB-MBB,21,110,362,0.29312488926815783
VTEB-VMBS,21,108,354,-0.0028540039384959545
EMB-FLOT,21,82,483,-0.2348627163905416
VWOB-FLOT,21,99,547,-0.5744110482515562
EMB-MBB,21,110,507,-0.2619268136342128
EMB-VMBS,21,84,442,-0.22008596790217785
VWOB-MBB,21,93,430,-0.1648792022676629
VWOB-VMBS,21,83,429,-0.20119536286158032
FLOT-MBB,21,146,657,-0.1613329812328921
FLOT-VMBS,21,144,621,-0.3630139109676702
IEI-GOVT,21,134,615,-0.8618579762724523
TLH-TLT,21,124,688,-0.08193963565647554
TLH-SPTL,21,138,593,-0.3637766030191107
TLH-VGLT,21,84,491,-0.33456988679205046
TLT-SPTL,21,136,435,-0.35574161436320295
TLT-VGLT,21,102,341,-0.44807108830885384
SPTL-VGLT,21,96,116,-0.9685555822173673
LQD-VCIT,21,140,669,0.009995999745987375
LQD-IGIB,21,126,664,-0.07718414983800163
VCIT-IGIB,21,52,364,-0.2950782027278627
HYG-JNK,21,68,327,-0.14830685003712024
HYG-USHY,21,50,167,-0.3801043632895774
JNK-USHY,21,66,221,-0.660117638358377
AGG-BND,21,120,305,-0.35972975529708645
TIP-SCHP,21,134,187,-1.323138753226683
MUB-VTEB,21,116,268,-0.9221232312543334
EMB-VWOB,21,76,275,-0.314494533665174
MBB-VMBS,21,174,327,-0.7804856001941183
SHY-IEI,63,38,875,0.13031031777101618
SHY-GOVT,63,38,751,-0.08166920363569134
SHY-IEF,63,62,955,-0.07617529624727047
SHY-TLH,63,92,1105,0.08697186084842423
SHY-TLT,63,76,1178,-0.16919826546263234
SHY-SPTL,63,70,1124,-0.020024098152716625
SHY-VGLT,63,36,792,0.11860401277811235
SHY-LQD,63,120,1100,0.1398038950926172
SHY-VCIT,63,48,793,-0.00043075541308359457
SHY-IGIB,63,162,1224,-0.1774401150575712
SHY-VCSH,63,66,878,0.039555188521883757
SHY-HYG,63,82,801,-0.05788287920668982
SHY-JNK,63,64,857,-0.11685273283589807
SHY-USHY,63,62,438,-0.2001428547539993
SHY-AGG,63,124,933,-0.29519701609388754
SHY-BND,63,66,955,0.01067762324281946
SHY-TIP,63,108,805,0.1182389583307611
SHY-SCHP,63,56,626,0.22801872414720836
SHY-MUB,63,70,625,0.3517794407924125
SHY-VTEB,63,34,454,0.26555022251016075
SHY-EMB,63,92,953,-0.030798301218379263
SHY-VWOB,63,62,711,-0.09706648161035258
SHY-FLOT,63,144,831,-0.5396956460326162
SHY-MBB,63,132,1026,-0.21924321717095643
SHY-VMBS,63,134,805,-0.49978903784014556
IEI-IEF,63,76,958,-0.15192590317700047
GOVT-IEF,63,32,522,0.07370528216459558
IEI-TLH,63,102,1124,-0.20126371943165283
IEI-TLT,63,62,1047,-0.11356582195480687
IEI-SPTL,63,84,1070,-0.21894644527820517
IEI-VGLT,63,34,815,0.019345663458434678
GOVT-TLH,63,66,796,-0.07506186574391883
GOVT-TLT,63,28,621,0.06348038154384181
GOVT-SPTL,63,28,607,0.06349924808533762
GOVT-VGLT,63,32,667,0.11697548838385284
IEI-LQD,63,100,1151,0.00802191693073031
IEI-VCIT,63,66,973,0.05184848897879895
IEI-IGIB,63,202,1125,-0.4380846497669595
GOVT-LQD,63,56,917,-0.1002268466870294
GOVT-VCIT,63,60,924,-0.23099220350903085
GOVT-IGIB,63,95,846,-0.4415099682612466
IEI-VCSH,63,74,751,-0.07703680796200944
GOVT-VCSH,63,44,746,-0.1596869439044796
IEI-HYG,63,80,778,-0.0007962968461559704
IEI-JNK,63,66,729,-0.07947091020540231
IEI-USHY,63,71,434,-0.23932523424967525
GOVT-HYG,63,55,597,-0.025696812627767972
GOVT-JNK,63,47,618,-0.05631954313300957
GOVT-USHY,63,55,457,-0.20486636200827799
IEI-AGG,63,98,1007,-0.3581398670735145
IEI-BND,63,68,1124,-0.31884031328899554
GOVT-AGG,63,72,737,-0.16623125543730652
GOVT-BND,63,58,679,-0.4292002841155148
IEI-TIP,63,88,726,0.035834464109774415
IEI-SCHP,63,44,607,-0.07023527380933203
GOVT-TIP,63,52,524,-0.18725272376141763
GOVT-SCHP,63,52,577,-0.25652771388792295
IEI-MUB,63,62,763,0.27738373859892107
IEI-VTEB,63,44,440,0.04766939649235327
GOVT-MUB,63,52,594,-0.02215012290758108
GOVT-VTEB,63,56,504,-0.01119612674016865
IEI-EMB,63,80,896,-0.17115467592212052
IEI-VWOB,63,68,723,-0.19410458465593683
GOVT-EMB,63,48,695,-0.06013710313738712
GOVT-VWOB,63,73,718,-0.16276027031030302
IEI-FLOT,63,42,789,-0.057250071794227204
GOVT-FLOT,63,46,901,-0.10388870714307515
IEI-MBB,63,140,911,-0.37624015858223847
IEI-VMBS,63,132,597,-0.5526143226190314
GOVT-MBB,63,94,674,-0.05616693909232615
GOVT-VMBS,63,96,657,-0.17057960243712605
IEF-TLH,63,188,1172,-0.4412589121097679
IEF-TLT,63,82,1262,-0.07661212823274621
IEF-SPTL,63,92,1039,-0.22151993672281295
IEF-VGLT,63,46,834,-0.09538720064865974
IEF-LQD,63,116,1206,-0.09477678834675513
IEF-VCIT,63,75,803,-0.011941099814314711
IEF-IGIB,63,78,859,-0.21411367546274612
IEF-VCSH,63,42,774,-0.16918322889597828
IEF-HYG,63,60,718,-0.0940411643684
IEF-JNK,63,44,657,-0.1789094149078992
IEF-USHY,63,54,486,-0.09313804311698057
IEF-AGG,63,54,816,-0.1368367156969591
IEF-BND,63,52,778,-0.19590773900217257
IEF-TIP,63,116,1044,-0.3666556865851127
IEF-SCHP,63,44,662,-0.1159644882176593
IEF-MUB,63,94,893,-0.019430790813964906
IEF-VTEB,63,64,541,-0.15547446632030706
IEF-EMB,63,98,1066,-0.06701592050627753
IEF-VWOB,63,75,740,-0.25757838805799654
IEF-FLOT,63,30,620,0.07516136515517627
IEF-MBB,63,56,951,0.00971933862424603
IEF-VMBS,63,30,580,-0.06170336458876059
TLH-LQD,63,88,1053,-0.1723691409711214
TLH-VCIT,63,72,901,-0.3048632017535253
TLH-IGIB,63,86,1150,-0.22576090302436372
TLT-LQD,63,70,1209,-0.254543079706324
TLT-VCIT,63,42,724,-0.04843017364165548
TLT-IGIB,63,66,1035,-0.2188003880695706
SPTL-LQD,63,60,932,-0.11246455228908413
SPTL-VCIT,63,48,707,0.0826692743096546
SPTL-IGIB,63,70,970,-0.05311164003875527
VGLT-LQD,63,40,690,-0.031412826895498194
VGLT-VCIT,63,48,747,0.09087201986386337
VGLT-IGIB,63,40,747,0.1032660968081398
TLH-VCSH,63,58,858,-0.18552106561589848
TLT-VCSH,63,34,773,0.02386018709343903
SPTL-VCSH,63,40,862,-0.047436116265692226
VGLT-VCSH,63,40,785,0.07104172009717157
TLH-HYG,63,64,990,-0.21683643420031165
TLH-JNK,63,54,926,-0.18797055097002513
TLH-USHY,63,42,539,-0.3342874297196218
TLT-HYG,63,56,874,-0.1118197039447467
TLT-JNK,63,42,809,-0.060107633497775495
TLT-USHY,63,40,447,-0.1945351640552724
SPTL-HYG,63,60,880,0.021044557283885303
SPTL-JNK,63,50,839,-0.03882254852649745
SPTL-USHY,63,40,445,-0.2171211351388544
VGLT-HYG,63,44,734,0.21166172786793763
VGLT-JNK,63,44,679,0.26963805313232403
VGLT-USHY,63,40,445,-0.20441772900218247
TLH-AGG,63,88,1044,-0.10670500024760617
TLH-BND,63,90,1054,-0.12505254318750086
TLT-AGG,63,74,1185,-0.240940566992863
TLT-BND,63,66,944,-0.1531390634249664
SPTL-AGG,63,78,1120,-0.13066571829267956
SPTL-BND,63,84,1100,-0.06433640661689047
VGLT-AGG,63,38,773,0.014074703599261083
VGLT-BND,63,36,802,0.08766679931201186
TLH-TIP,63,122,912,-0.19148924741907766
TLH-SCHP,63,74,667,-0.09824266113311332
TLT-TIP,63,114,1056,-0.2387615558798235
TLT-SCHP,63,36,621,0.051068694472129195
SPTL-TIP,63,78,899,0.002930041401789084
SPTL-SCHP,63,44,671,0.1091276546096733
VGLT-TIP,63,44,704,0.0029976832760456717
VGLT-SCHP,63,44,663,0.11211668903701127
TLH-MUB,63,130,1088,-0.10365535760552305
TLH-VTEB,63,66,607,-0.2965652363780635
TLT-MUB,63,60,1035,-0.111222143847938
TLT-VTEB,63,32,490,-0.2266462258615352
SPTL-MUB,63,74,1072,-0.006048927852356147
SPTL-VTEB,63,30,460,-0.16730268725259584
VGLT-MUB,63,64,854,0.05340170195368938
VGLT-VTEB,63,30,460,-0.16234759187463482
TLH-EMB,63,82,986,-0.0873224319238386
TLH-VWOB,63,70,812,-0.14397003820139345
TLT-EMB,63,66,879,-0.1640870959999062
TLT-VWOB,63,48,641,-0.27918853955144013
SPTL-EMB,63,74,960,-0.10565422468052094
SPTL-VWOB,63,46,647,-0.2699699559612229
VGLT-EMB,63,68,814,0.018078324266903305
VGLT-VWOB,63,46,648,-0.27203598593654504
TLH-FLOT,63,44,711,0.03271556483969525
TLT-FLOT,63,26,581,0.06680138135475916
SPTL-FLOT,63,30,584,0.1307962144050653
VGLT-FLOT,63,30,596,0.15225109848276494
TLH-MBB,63,96,1058,0.008947878443919215
TLH-VMBS,63,52,799,-0.15062895690680037
TLT-MBB,63,64,967,-0.06748532208125334
TLT-VMBS,63,30,688,-0.013399904116365558
SPTL-MBB,63,70,1007,-0.07071022253815797
SPTL-VMBS,63,34,718,-0.052317189723296395
VGLT-MBB,63,38,732,-0.04800196551390773
VGLT-VMBS,63,34,688,-0.023277847928843458
LQD-VCSH,63,72,844,0.17143645165204102
VCIT-VCSH,63,56,768,-0.046182299622475456
IGIB-VCSH,63,160,1005,-0.6362042217700629
LQD-HYG,63,72,658,0.1674223813826952
LQD-JNK,63,56,855,-0.05313303337837311
LQD-USHY,63,40,407,0.1078164567195566
VCIT-HYG,63,50,499,0.17777585041572128
VCIT-JNK,63,42,519,0.11688508103779587
VCIT-USHY,63,44,353,0.17033030843387498
IGIB-HYG,63,62,620,0.06373220816483534
IGIB-JNK,63,48,644,-0.049308476375846934
IGIB-USHY,63,54,379,0.09379336821598137
LQD-AGG,63,116,1391,-0.09071916518790421
LQD-BND,63,92,974,0.001920871436801391
VCIT-AGG,63,52,814,-0.061258430264347456
VCIT-BND,63,58,727,0.2069450123123229
IGIB-AGG,63,129,982,-0.2982944429542592
IGIB-BND,63,101,895,0.048418504783837246
LQD-TIP,63,136,1084,0.16725000175999988
LQD-SCHP,63,78,709,0.09957932035410307
VCIT-TIP,63,68,686,-0.2110258877727024
VCIT-SCHP,63,68,775,-0.2849476668850194
IGIB-TIP,63,114,900,0.07497708786349522
IGIB-SCHP,63,74,566,0.19087494735089136
LQD-MUB,63,108,906,0.11607890984561904
LQD-VTEB,63,46,475,-0.12190844101991061
VCIT-MUB,63,76,892,0.006717652497391108
VCIT-VTEB,63,50,585,-0.17845303431461354
IGIB-MUB,63,80,808,0.2853839963295784
IGIB-VTEB,63,50,490,0.11039269970539972
LQD-EMB,63,98,841,-0.007348370244971191
LQD-VWOB,63,56,582,-0.1171811418353642
VCIT-EMB,63,94,766,0.09668856156442404
VCIT-VWOB,63,70,569,-0.09112398682584201
IGIB-EMB,63,76,825,0.21279463109129793
IGIB-VWOB,63,52,590,-0.12560961199839873
LQD-FLOT,63,60,1003,-0.051164780949938746
VCIT-FLOT,63,66,864,-0.2345919276538305
IGIB-FLOT,63,110,950,-0.49045648403994924
LQD-MBB,63,98,1068,0.05681748534534773
LQD-VMBS,63,64,809,0.2897085429208082
VCIT-MBB,63,46,740,0.05459941398707234
VCIT-VMBS,63,54,686,0.17522224154994492
IGIB-MBB,63,164,938,-0.14478148672906088
IGIB-VMBS,63,98,686,-0.4581546496913702
VCSH-HYG,63,74,540,0.2616971495002994
VCSH-JNK,63,64,573,0.15098008469037857
VCSH-USHY,63,81,378,0.12286929274843356
VCSH-AGG,63,54,857,-0.12036479585657105
VCSH-BND,63,54,853,-0.09050829271174395
VCSH-TIP,63,46,478,0.10821579051761572
VCSH-SCHP,63,38,447,0.2140213081296197
VCSH-MUB,63,44,458,0.08836698733676028
VCSH-VTEB,63,34,503,0.31586591035940925
VCSH-EMB,63,68,843,-0.007022439420239146
VCSH-VWOB,63,60,774,-0.12391643652238067
VCSH-FLOT,63,84,902,-0.17088445463654522
VCSH-MBB,63,130,733,-0.14613454830547706
VCSH-VMBS,63,140,689,-0.13069339636391103
HYG-AGG,63,68,661,-0.05152059648276977
HYG-BND,63,72,619,0.0015993379289906912
JNK-AGG,63,52,698,-0.05149976177022358
JNK-BND,63,50,718,-0.101646557597349
USHY-AGG,63,53,482,-0.18052063990764214
USHY-BND,63,51,453,-0.22315382909824735
HYG-TIP,63,74,703,0.3041387929658873
HYG-SCHP,63,52,572,0.12338034344599108
JNK-TIP,63,78,872,0.18358597992632578
JNK-SCHP,63,56,730,0.24011859765743454
USHY-TIP,63,52,485,-0.18610044610994683
USHY-SCHP,63,54,500,-0.24455623285973224
HYG-MUB,63,56,557,-0.1359653887126269
HYG-VTEB,63,24,297,0.08628805947483066
JNK-MUB,63,44,519,-0.03774727433455005
JNK-VTEB,63,22,274,0.14420602264627852
USHY-MUB,63,77,365,0.0592249959041641
USHY-VTEB,63,73,372,0.039814911245184624
HYG-EMB,63,54,650,0.22776314573427553
HYG-VWOB,63,60,611,0.3549679945351416
JNK-EMB,63,54,767,0.19425307204367007
JNK-VWOB,63,46,539,0.11900826826164076
USHY-EMB,63,34,408,0.2082892162836887
USHY-VWOB,63,36,412,0.1979075342807177
HYG-FLOT,63,48,563,0.15561493067381774
JNK-FLOT,63,42,564,0.1745539792859298
USHY-FLOT,63,56,439,-0.21636515767776462
HYG-MBB,63,84,753,-0.009822284227013211
HYG-VMBS,63,69,618,0.11697518457395867
JNK-MBB,63,61,814,-0.11711786134367357
JNK-VMBS,63,65,652,0.1016907261170571
USHY-MBB,63,61,508,-0.1534236752728422
USHY-VMBS,63,59,492,-0.2557178871318118
AGG-TIP,63,110,885,-0.07846094976628942
AGG-SCHP,63,54,506,0.1728711075129982
BND-TIP,63,96,743,-0.13065954437801042
BND-SCHP,63,52,489,0.019935966812429012
AGG-MUB,63,86,666,0.20104457755896163
AGG-VTEB,63,52,414,-0.04881941417504602
BND-MUB,63,86,641,0.31181857887442377
BND-VTEB,63,60,375,-0.02828041751081712
AGG-EMB,63,86,908,-0.05369091966093078
AGG-VWOB,63,69,717,-0.20261131115967565
BND-EMB,63,88,907,-0.0733508902586421
BND-VWOB,63,65,698,-0.16795711111824915
AGG-FLOT,63,44,751,-0.0500442926348341
BND-FLOT,63,42,690,-0.0006441664056337934
AGG-MBB,63,132,888,-0.2911478474706213
AGG-VMBS,63,52,624,-0.04102270011334793
BND-MBB,63,118,1043,-0.14752051063763638
BND-VMBS,63,64,664,-0.02163913851714051
TIP-MUB,63,52,589,0.47685354450366835
TIP-VTEB,63,40,362,0.18482172821889511
SCHP-MUB,63,40,452,0.2959142297588872
SCHP-VTEB,63,40,362,-0.07115450923953087
TIP-EMB,63,92,860,0.2708941132357523
TIP-VWOB,63,96,766,-0.09632527471451639
SCHP-EMB,63,104,930,0.2328522661950231
SCHP-VWOB,63,96,739,-0.016843050092254383
TIP-FLOT,63,58,516,0.17504554494731023
SCHP-FLOT,63,56,519,0.137384844858502
TIP-MBB,63,102,797,-0.24633737415715137
TIP-VMBS,63,56,640,-0.07129841813217523
SCHP-MBB,63,56,650,-0.1689649351302234
SCHP-VMBS,63,58,601,0.03565925734177373
MUB-EMB,63,96,873,0.14103980984459955
MUB-VWOB,63,66,707,-0.19753671099634626
VTEB-EMB,63,50,519,-0.22988511649562612
VTEB-VWOB,63,62,542,-0.23758100996788628
MUB-FLOT,63,44,762,0.15841344745454555
VTEB-FLOT,63,38,528,0.39953721180091945
MUB-MBB,63,76,494,0.2099491722109877
MUB-VMBS,63,50,356,0.1512025863362591
VTEB-MBB,63,56,461,0.13926407832313237
VTEB-VMBS,63,54,454,-0.17812534732802834
EMB-FLOT,63,56,884,0.16544050149558093
VWOB-FLOT,63,54,712,-0.05777146451912626
EMB-MBB,63,96,952,-0.2694199936036288
EMB-VMBS,63,66,795,-0.11650007558586326
VWOB-MBB,63,72,751,-0.03151138036169604
VWOB-VMBS,63,54,783,-0.0389148479143186
FLOT-MBB,63,100,774,0.11098649866908493
FLOT-VMBS,63,102,689,-0.14306234190684078
IEI-GOVT,63,50,715,-0.2394820718978743
TLH-TLT,63,64,700,-0.2608266387373335
TLH-SPTL,63,106,665,-0.26859831415139646
TLH-VGLT,63,32,520,-0.06988534945012487
TLT-SPTL,63,66,658,-0.30366718044095126
TLT-VGLT,63,34,500,-0.14567618359555654
SPTL-VGLT,63,80,173,-0.7939611256820657
LQD-VCIT,63,96,723,0.018870827289350193
LQD-IGIB,63,84,868,0.0939989228821345
VCIT-IGIB,63,42,527,-0.16583370273859
HYG-JNK,63,40,555,-0.2577453420121826
HYG-USHY,63,42,329,-0.531712876168679
JNK-USHY,63,44,150,-0.244057292893548
AGG-BND,63,116,359,-0.40324952773503053
TIP-SCHP,63,104,211,-1.329936637054831
MUB-VTEB,63,100,268,-0.773999944497042
EMB-VWOB,63,48,394,-0.052375946712099664
MBB-VMBS,63,98,287,-0.3443454155787849
