dd_win,dd_floor,vol_win,vol_pct,is_sr,oos_sr,full_sr,is_cagr,oos_cagr,full_cagr,mdd,avg_mult
252,-0.1,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
252,-0.15,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
378,-0.1,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
252,-0.25,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
252,-0.2,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
252,-0.35,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
378,-0.35,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
378,-0.2,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
504,-0.35,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
504,-0.1,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
504,-0.15,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
504,-0.2,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
504,-0.25,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
378,-0.25,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
378,-0.15,60,0.8,1.3779,1.755,1.5569,0.1737,0.3321,0.2427,-0.2159,0.8556430446194225
252,-0.2,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.1,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.2,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.25,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.1,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.35,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.2,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.35,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.15,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.15,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.25,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.35,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.15,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
378,-0.1,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
504,-0.25,20,0.7,1.3663,1.6937,1.5202,0.1631,0.2941,0.2205,-0.232,0.8167501789549033
252,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.1,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.25,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.35,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
378,-0.15,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
252,-0.2,60,0.9,1.3654,1.6906,1.5177,0.1796,0.3281,0.2444,-0.249,0.8894058697208304
504,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.2,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.15,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
252,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.1,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.35,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
504,-0.25,20,0.99,1.3506,1.6966,1.5155,0.1952,0.347,0.2614,-0.2725,0.9713672154617037
378,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.2,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.1,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.1,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.35,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.15,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.15,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.2,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.35,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.2,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.1,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.15,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.35,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.35,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
378,-0.1,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.25,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
252,-0.2,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
252,-0.25,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
252,-0.15,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
252,-0.1,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.1,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
378,-0.15,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
378,-0.35,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
378,-0.25,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
378,-0.2,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.15,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.35,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.2,60,0.99,1.304,1.754,1.5231,0.1821,0.3564,0.2578,-0.2707,0.9469100453352421
504,-0.35,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
504,-0.25,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
504,-0.15,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
504,-0.2,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
504,-0.1,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
378,-0.35,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
252,-0.15,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
252,-0.1,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
252,-0.2,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
252,-0.25,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
378,-0.1,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
378,-0.15,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
252,-0.35,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
378,-0.2,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
378,-0.25,30,0.7,1.2892,1.7004,1.4878,0.1518,0.2973,0.2153,-0.2285,0.8163922691481746
504,-0.2,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
504,-0.1,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
378,-0.25,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
378,-0.2,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
378,-0.15,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
378,-0.35,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
504,-0.35,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
504,-0.25,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
504,-0.15,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.15,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.1,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.2,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.25,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
378,-0.1,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.35,60,0.7,1.2728,1.7015,1.4805,0.1485,0.2999,0.2145,-0.2152,0.8112622285850632
252,-0.25,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
252,-0.35,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
378,-0.35,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
378,-0.1,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
252,-0.1,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
252,-0.15,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
378,-0.15,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
252,-0.2,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
504,-0.35,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
504,-0.25,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
378,-0.2,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
504,-0.1,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
504,-0.15,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
504,-0.2,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
378,-0.25,20,0.95,1.2299,1.6884,1.4543,0.1702,0.3408,0.2443,-0.2829,0.9477451682176091
252,-0.15,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
378,-0.25,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
378,-0.2,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.2,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.15,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
378,-0.1,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
378,-0.15,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
252,-0.25,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
252,-0.1,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
252,-0.2,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
252,-0.35,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.25,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.35,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.1,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
378,-0.35,20,0.8,1.2172,1.7401,1.4754,0.153,0.3217,0.2263,-0.2934,0.8668575518969219
504,-0.35,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
504,-0.25,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
378,-0.1,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.1,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.15,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
378,-0.15,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
504,-0.15,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
504,-0.2,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
378,-0.35,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
504,-0.1,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
378,-0.2,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
378,-0.25,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.35,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.2,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.25,30,0.8,1.1981,1.7676,1.4809,0.149,0.3261,0.2257,-0.2391,0.8613696015270819
252,-0.2,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
252,-0.1,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
252,-0.15,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.2,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.15,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.1,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
378,-0.35,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
378,-0.25,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
378,-0.2,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
378,-0.15,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
378,-0.1,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
252,-0.25,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
252,-0.35,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.25,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.35,20,0.9,1.1976,1.6866,1.4384,0.1592,0.3293,0.233,-0.2926,0.9181579575280363
504,-0.15,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
504,-0.2,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
504,-0.35,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
504,-0.25,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.25,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.2,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.15,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.1,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.35,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
378,-0.1,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
378,-0.35,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
378,-0.25,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
378,-0.15,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
378,-0.2,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
504,-0.1,30,0.95,1.1932,1.7016,1.4438,0.1645,0.3405,0.2408,-0.2725,0.9397518492006681
252,-0.35,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
378,-0.1,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
252,-0.25,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
252,-0.1,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
252,-0.15,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
252,-0.2,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
378,-0.15,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
504,-0.1,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
378,-0.35,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
378,-0.2,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
378,-0.25,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
504,-0.2,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
504,-0.15,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
504,-0.25,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
504,-0.35,30,0.9,1.1854,1.7245,1.4524,0.1576,0.3373,0.2355,-0.2715,0.9148174659985684
